timestamp,date,time,open,high,low,close,volume,count,ma5,ma10
20260323-09:30,20260323,09:30,177.13,177.13,176.93,176.93,9088698828791,5,173.268,173.248
20260323-09:35,20260323,09:35,176.71,176.88,176.69,176.69,7159904920445,5,174.1,173.558
20260323-09:40,20260323,09:40,176.75,177.68,176.61,177.68,11679869324356,5,175.17600000000002,173.997
20260323-09:45,20260323,09:45,176.19,177.21,176.19,177.08,17107690918234,5,176.192,174.39000000000001
20260323-09:50,20260323,09:50,176.95,177.18,176.89,177.18,22228812316611,5,177.112,174.791
20260323-09:55,20260323,09:55,177.28,177.28,176.94,176.94,26316023222791,5,177.114,175.191
20260323-10:00,20260323,10:00,176.71,177.34,176.71,177.34,30203462525877,5,177.244,175.672
20260323-10:05,20260323,10:05,177.45,177.45,177.03,177.42,33449120745250,5,177.192,176.184
20260323-10:10,20260323,10:10,177.36,177.76,177.36,177.65,36266660000032,5,177.306,176.749
20260323-10:15,20260323,10:15,177.84,177.84,177.37,177.4,32374978601194,5,177.35,177.231
20260323-10:20,20260323,10:20,177.27,177.27,176.72,176.72,42940836075810,5,177.306,177.21
20260323-10:25,20260323,10:25,176.9,177.48,176.88,177.48,45825016834343,5,177.334,177.289
20260323-10:30,20260323,10:30,177.35,177.68,177.35,177.53,39999703852117,5,177.356,177.274
20260323-10:35,20260323,10:35,177.53,178.09,177.53,178.09,50991309207651,5,177.444,177.375
20260323-10:40,20260323,10:40,177.96,177.96,177.74,177.74,44659859672945,5,177.512,177.431
20260323-10:45,20260323,10:45,177.82,177.91,177.65,177.91,56403146915233,5,177.75,177.528
20260323-10:50,20260323,10:50,177.9,178.07,177.72,178.07,58671432532001,5,177.868,177.601
20260323-10:55,20260323,10:55,177.74,177.74,177.5,177.5,61175146213081,5,177.862,177.609
20260323-11:00,20260323,11:00,177.46,177.63,177.35,177.47,51771622795894,5,177.738,177.591
20260323-11:05,20260323,11:05,177.51,177.65,177.38,177.62,52188187989540,5,177.714,177.613
20260323-11:10,20260323,11:10,177.55,177.71,177.42,177.71,54871106862076,5,177.674,177.712
20260323-11:15,20260323,11:15,177.59,178.19,177.59,178.09,68903378456627,5,177.678,177.773
20260323-11:20,20260323,11:20,178.18,178.21,178.09,178.2,45323185056556,5,177.818,177.84
20260323-11:25,20260323,11:25,178.06,178.15,178.06,178.11,72734279050463,5,177.946,177.842
