date,time,_updated,last,bid,ask,bid_sz,ask_sz,volume,symbol,conid
20260210,09:30:07,20260210-09:30:04,120.47,120.46,120.49,40000,20000,152800,UPRO,61228752
20260210,09:31:06,20260210-09:30:59,120.47,120.49,120.52,80000,40000,152900,UPRO,61228752
20260210,09:32:03,20260210-09:32:02,120.57,120.57,120.58,20000,10000,153400,UPRO,61228752
20260210,09:33:04,20260210-09:32:59,120.62,120.58,120.61,30000,10000,154800,UPRO,61228752
20260210,09:34:06,20260210-09:33:59,120.61,120.59,120.62,60000,40000,155100,UPRO,61228752
20260210,09:35:05,20260210-09:35:03,120.58,120.57,120.6,50000,40000,155400,UPRO,61228752
20260210,09:36:01,20260210-09:35:59,120.58,120.55,120.57,20000,60000,155400,UPRO,61228752
20260210,09:37:04,20260210-09:36:56,120.61,120.6,120.62,10000,60000,155600,UPRO,61228752
20260210,09:38:00,20260210-09:37:59,120.61,120.59,120.62,20000,60000,155600,UPRO,61228752
20260210,09:39:02,20260210-09:38:59,120.61,120.61,120.64,90000,100000,155700,UPRO,61228752
20260210,09:40:05,20260210-09:39:59,120.6,120.58,120.64,50000,90000,157700,UPRO,61228752
20260210,09:41:01,20260210-09:40:59,120.62,120.63,120.66,90000,70000,158100,UPRO,61228752
20260210,09:42:04,20260210-09:41:59,120.62,120.57,120.6,140000,70000,158100,UPRO,61228752
20260210,09:43:01,20260210-09:42:59,120.58,120.62,120.65,50000,50000,158300,UPRO,61228752
20260210,09:44:04,20260210-09:43:59,120.58,120.61,120.63,50000,590000,158400,UPRO,61228752
20260210,09:45:01,20260210-09:45:00,120.64,120.61,120.64,20000,70000,186100,UPRO,61228752
20260210,09:46:06,20260210-09:45:59,120.76,120.72,120.75,50000,40000,214600,UPRO,61228752
20260210,09:47:05,20260210-09:46:59,120.81,120.79,120.82,40000,20000,258200,UPRO,61228752
20260210,09:48:02,20260210-09:47:59,120.79,120.78,120.8,10000,20000,274200,UPRO,61228752
20260210,09:49:00,20260210-09:48:59,120.62,120.63,120.64,10000,10000,291100,UPRO,61228752
20260210,09:50:03,20260210-09:49:59,120.66,120.67,120.69,40000,10000,311300,UPRO,61228752
20260210,09:51:00,20260210-09:50:59,120.64,120.62,120.63,10000,40000,329000,UPRO,61228752
20260210,09:52:03,20260210-09:51:59,120.39,120.41,120.42,10000,10000,358900,UPRO,61228752
