Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10312.3163
2009-07-07,10312.3163
2009-07-08,10127.7244
2009-07-09,10190.7075
2009-07-10,10092.9649
2009-07-13,10830.4413
2009-07-14,10830.4413
2009-07-15,10830.4413
2009-07-16,10830.4413
2009-07-17,10830.4413
2009-07-20,10830.4413
2009-07-21,10830.4413
2009-07-22,10830.4413
2009-07-23,10830.4413
2009-07-24,10830.4413
2009-07-27,10830.4413
2009-07-28,10830.4413
2009-07-29,10830.4413
2009-07-30,10830.4413
2009-07-31,10830.4413
2009-08-03,10830.4413
2009-08-04,10830.4413
2009-08-05,10830.4413
2009-08-06,10830.4413
2009-08-07,10830.4413
2009-08-10,10830.4413
2009-08-11,10830.4413
2009-08-12,11254.0073
2009-08-13,11254.0073
2009-08-14,11254.0073
2009-08-17,11254.0073
2009-08-18,11254.0073
2009-08-19,11254.0073
2009-08-20,11254.0073
2009-08-21,11254.0073
2009-08-24,11254.0073
2009-08-25,11254.0073
2009-08-26,11254.0073
2009-08-27,11254.0073
2009-08-28,11254.0073
2009-08-31,11254.0073
2009-09-01,11254.0073
2009-09-02,11273.8501
2009-09-03,11338.2538
2009-09-04,11338.2538
2009-09-08,11338.2538
2009-09-09,11338.2538
2009-09-10,11338.2538
2009-09-11,11338.2538
2009-09-14,11338.2538
2009-09-15,11338.2538
2009-09-16,11338.2538
2009-09-17,11338.2538
2009-09-18,11338.2538
2009-09-21,11338.2538
2009-09-22,11338.2538
2009-09-23,11338.2538
2009-09-24,11338.2538
2009-09-25,11338.2538
2009-09-28,11804.5893
2009-09-29,11804.5893
2009-09-30,11804.5893
2009-10-01,11804.5893
2009-10-02,11804.5893
2009-10-05,12185.4616
2009-10-06,12185.4616
2009-10-07,12185.4616
2009-10-08,12185.4616
2009-10-09,12185.4616
2009-10-12,12185.4616
2009-10-13,12185.4616
2009-10-14,12185.4616
2009-10-15,12185.4616
2009-10-16,12185.4616
2009-10-19,12185.4616
2009-10-20,12185.4616
2009-10-21,12185.4616
2009-10-22,12558.1512
2009-10-23,12558.1512
2009-10-26,12086.0071
2009-10-27,11938.861
2009-10-28,11269.3126
2009-10-29,11984.2814
2009-10-30,10961.3137
2009-11-02,11183.9141
2009-11-03,11183.9141
2009-11-04,11183.9141
2009-11-05,11183.9141
2009-11-06,11183.9141
2009-11-09,11183.9141
2009-11-10,11183.9141
2009-11-11,11183.9141
2009-11-12,11183.9141
2009-11-13,11183.9141
2009-11-16,11183.9141
2009-11-17,11183.9141
2009-11-18,11183.9141
2009-11-19,11183.9141
2009-11-20,11183.9141
2009-11-23,11222.6816
2009-11-24,11222.6816
2009-11-25,11222.6816
2009-11-27,11222.6816
2009-11-30,11381.6637
2009-12-01,11381.6637
2009-12-02,11381.6637
2009-12-03,11381.6637
2009-12-04,11381.6637
2009-12-07,11381.6637
2009-12-08,11381.6637
2009-12-09,11506.8864
2009-12-10,11483.7334
2009-12-11,11653.2696
2009-12-14,11653.2696
2009-12-15,11653.2696
2009-12-16,11545.3737
2009-12-17,11142.4974
2009-12-18,11318.3511
2009-12-21,11648.3991
2009-12-22,11787.0651
2009-12-23,11787.0651
2009-12-24,11787.0651
2009-12-28,11787.0651
2009-12-29,11787.0651
2009-12-30,11787.0651
2009-12-31,11787.0651
2010-01-04,12066.1103
2010-01-05,12066.1103
2010-01-06,12066.1103
2010-01-07,12066.1103
2010-01-08,12066.1103
2010-01-11,12066.1103
2010-01-12,12066.1103
2010-01-13,12282.6363
2010-01-14,12282.6363
2010-01-15,12282.6363
2010-01-19,12767.0223
2010-01-20,12767.0223
2010-01-21,12767.0223
2010-01-22,12767.0223
2010-01-25,12598.8297
2010-01-26,12440.3355
2010-01-27,12626.1675
2010-01-28,12184.0762
2010-01-29,11785.1396
2010-02-01,12336.3868
2010-02-02,12336.3868
2010-02-03,12336.3868
2010-02-04,12336.3868
2010-02-05,12336.3868
2010-02-08,12059.8966
2010-02-09,12495.4663
2010-02-10,12495.4663
2010-02-11,12495.4663
2010-02-12,12495.4663
2010-02-16,12495.4663
2010-02-17,12495.4663
2010-02-18,12495.4663
2010-02-19,12495.4663
2010-02-22,12495.4663
2010-02-23,12495.4663
2010-02-24,12734.2357
2010-02-25,13266.0891
2010-02-26,13266.0891
2010-03-01,13515.273
2010-03-02,13515.273
2010-03-03,13515.273
2010-03-04,13515.273
2010-03-05,13515.273
2010-03-08,13515.273
2010-03-09,13515.273
2010-03-10,13515.273
2010-03-11,13515.273
2010-03-12,13515.273
2010-03-15,13515.273
2010-03-16,13515.273
2010-03-17,13515.273
2010-03-18,13515.273
2010-03-19,13515.273
2010-03-22,13515.273
2010-03-23,13515.273
2010-03-24,13515.273
2010-03-25,13515.273
2010-03-26,13515.273
2010-03-29,13515.273
2010-03-30,13515.273
2010-03-31,13515.273
2010-04-01,13515.273
2010-04-05,13515.273
2010-04-06,13515.273
2010-04-07,13515.273
2010-04-08,13515.273
2010-04-09,13515.273
2010-04-12,13515.273
2010-04-13,13515.273
2010-04-14,13515.273
2010-04-15,13515.273
2010-04-16,13515.273
2010-04-19,13776.4066
2010-04-20,13776.4066
2010-04-21,13776.4066
2010-04-22,13776.4066
2010-04-23,13776.4066
2010-04-26,13776.4066
2010-04-27,13776.4066
2010-04-28,13860.6415
2010-04-29,14107.676
2010-04-30,14107.676
2010-05-03,14453.4689
2010-05-04,14453.4689
2010-05-05,14583.3554
2010-05-06,13303.0356
2010-05-07,12716.8974
2010-05-10,14365.6742
2010-05-11,14241.367
2010-05-12,14845.6825
2010-05-13,14845.6825
2010-05-14,14845.6825
2010-05-17,14739.424
2010-05-18,14151.9464
2010-05-19,13900.0513
2010-05-20,12306.7294
2010-05-21,12754.1957
2010-05-24,12359.3725
2010-05-25,12359.3725
2010-05-26,12359.3725
2010-05-27,12858.43
2010-05-28,12858.43
2010-06-01,12858.43
2010-06-02,13630.2427
2010-06-03,13630.2427
2010-06-04,13630.2427
2010-06-07,12986.0473
2010-06-08,13362.5547
2010-06-09,13160.4727
2010-06-10,14346.1725
2010-06-11,14346.1725
2010-06-14,14346.1725
2010-06-15,14346.1725
2010-06-16,14346.1725
2010-06-17,14346.1725
2010-06-18,14346.1725
2010-06-21,14346.1725
2010-06-22,14346.1725
2010-06-23,14179.6351
2010-06-24,13481.1139
2010-06-25,13738.9362
2010-06-28,13499.8311
2010-06-29,12271.0903
2010-06-30,11846.9607
2010-07-01,11735.3764
2010-07-02,11531.2513
2010-07-06,11745.7777
2010-07-07,12854.7377
2010-07-08,12854.7377
2010-07-09,12854.7377
2010-07-12,12854.7377
2010-07-13,12854.7377
2010-07-14,12854.7377
2010-07-15,12854.7377
2010-07-16,12854.7377
2010-07-19,12946.5932
2010-07-20,12946.5932
2010-07-21,12946.5932
2010-07-22,12946.5932
2010-07-23,12946.5932
2010-07-26,12946.5932
2010-07-27,12946.5932
2010-07-28,12946.5932
2010-07-29,12946.5932
2010-07-30,12946.5932
2010-08-02,13194.4413
2010-08-03,13194.4413
2010-08-04,13194.4413
2010-08-05,13194.4413
2010-08-06,13194.4413
2010-08-09,13194.4413
2010-08-10,13194.4413
2010-08-11,13194.4413
2010-08-12,13584.8388
2010-08-13,13584.8388
2010-08-16,13837.1842
2010-08-17,13837.1842
2010-08-18,13837.1842
2010-08-19,13837.1842
2010-08-20,13837.1842
2010-08-23,13837.1842
2010-08-24,13837.1842
2010-08-25,14209.481
2010-08-26,13743.3711
2010-08-27,14390.6369
2010-08-30,13875.7184
2010-08-31,13915.3275
2010-09-01,15118.0356
2010-09-02,15118.0356
2010-09-03,15118.0356
2010-09-07,15118.0356
2010-09-08,15118.0356
2010-09-09,15118.0356
2010-09-10,15118.0356
2010-09-13,15118.0356
2010-09-14,15118.0356
2010-09-15,15118.0356
2010-09-16,15118.0356
2010-09-17,15118.0356
2010-09-20,15118.0356
2010-09-21,15118.0356
2010-09-22,15118.0356
2010-09-23,15118.0356
2010-09-24,15118.0356
2010-09-27,15118.0356
2010-09-28,15118.0356
2010-09-29,15118.0356
2010-09-30,15118.0356
2010-10-01,15118.0356
2010-10-04,15118.0356
2010-10-05,15118.0356
2010-10-06,15118.0356
2010-10-07,15118.0356
2010-10-08,15118.0356
2010-10-11,15118.0356
2010-10-12,15118.0356
2010-10-13,15118.0356
2010-10-14,15118.0356
2010-10-15,15118.0356
2010-10-18,15118.0356
2010-10-19,15118.0356
2010-10-20,15460.2494
2010-10-21,15460.2494
2010-10-22,15460.2494
2010-10-25,15460.2494
2010-10-26,15460.2494
2010-10-27,15460.2494
2010-10-28,15243.4405
2010-10-29,15253.2834
2010-11-01,15266.6936
2010-11-02,15613.4426
2010-11-03,15613.4426
2010-11-04,15613.4426
2010-11-05,15613.4426
2010-11-08,15613.4426
2010-11-09,15613.4426
2010-11-10,15802.4529
2010-11-11,15802.4529
2010-11-12,15802.4529
2010-11-15,15582.7428
2010-11-16,14850.1373
2010-11-17,14873.1105
2010-11-18,15524.4962
2010-11-19,15642.8117
2010-11-22,15618.9273
2010-11-23,15618.9273
2010-11-24,15967.6293
2010-11-26,15967.6293
2010-11-29,15967.6293
2010-11-30,15967.6293
2010-12-01,15967.6293
2010-12-02,15967.6293
2010-12-03,15967.6293
2010-12-06,15967.6293
2010-12-07,15967.6293
2010-12-08,15967.6293
2010-12-09,15967.6293
2010-12-10,15967.6293
2010-12-13,15967.6293
