Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,9467,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,312.3163
2009-07-08,Lex,1.0413,9903,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,518.125
2009-08-12,Lex,1.4624,7405,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,423.566
2009-09-02,Lex,1.4631,7691,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,19.8428
2009-09-03,Lex,1.4896,7568,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,64.4037
2009-09-28,Lex,1.7152,6610,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,466.3355
2009-10-05,Lex,1.6165,7302,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,380.8723
2009-10-22,Lex,1.8713,6511,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,372.6896
2009-10-26,Lex,1.869,6719,1.6645,Exp,2009-11-02,1.9264,1.623,6,0,5,2009-10-26,2009-10-30,0.1575,-1374.2371
2009-11-23,Lex,1.9817,5643,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,38.7674
2009-11-30,Lex,1.9108,5873,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,158.9821
2009-12-09,Lex,1.9141,5946,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,125.2228
2009-12-10,Lex,1.9728,5832,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,146.3832
2009-12-16,Lex,2.0335,5730,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,133.7955
2010-01-04,Lex,2.0916,5635,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,279.0452
2010-01-13,Lex,2.177,5542,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,216.5259
2010-01-19,Lex,2.1545,5700,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,484.386
2010-01-25,Lex,1.9613,6509,1.8951,Exp,2010-02-01,1.9732,1.8018,6,2,5,2010-01-26,2010-01-29,0.0869,-430.6354
2010-02-08,Lex,1.7703,6968,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,159.0794
2010-02-24,Lex,1.9378,6448,1.9748,PnL,2010-02-24,1.983,1.9245,1,0,0,2010-02-24,2010-02-24,0.0295,238.7694
2010-02-25,Lex,1.8893,6740,1.9682,PnL,2010-02-25,1.97,1.8736,1,0,0,2010-02-25,2010-02-25,0.0489,531.8534
2010-03-01,Lex,1.9942,6652,2.0317,PnL,2010-03-01,2.0381,1.9936,1,0,0,2010-03-01,2010-03-01,0.0218,249.1839
2010-04-19,Lex,2.4634,5486,2.511,PnL,2010-04-19,2.5199,2.4296,1,0,0,2010-04-19,2010-04-19,0.0358,261.1336
2010-04-28,Lex,2.4613,5597,2.4764,PnL,2010-04-28,2.4994,2.414,1,0,0,2010-04-28,2010-04-28,0.0342,84.2349
2010-04-29,Lex,2.5262,5486,2.5712,PnL,2010-04-29,2.588,2.5232,1,0,0,2010-04-29,2010-04-29,0.025,247.0346
2010-05-03,Lex,2.478,5693,2.5387,PnL,2010-05-03,2.5567,2.4657,1,0,0,2010-05-03,2010-05-03,0.0356,345.7928
2010-05-05,Lex,2.2956,6296,2.3162,PnL,2010-05-05,2.3737,2.2659,1,0,0,2010-05-05,2010-05-05,0.0454,129.8865
2010-05-06,Lex,2.2862,6378,2.3273,PnL,2010-05-12,2.3242,1.4543,5,0,0,2010-05-06,2010-05-06,0.3743,262.3271
2010-05-17,Lex,2.1373,6945,1.7793,Exp,2010-05-24,2.1931,1.6797,6,2,5,2010-05-18,2010-05-21,0.2341,-2486.31
2010-05-27,Lex,1.8527,6671,1.9275,PnL,2010-05-27,1.9295,1.8307,1,0,0,2010-05-27,2010-05-27,0.0512,499.0575
