Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10156.1417
2009-07-07,10156.1417
2009-07-08,10065.253
2009-07-09,10096.2644
2009-07-10,10048.1383
2009-07-13,10411.254
2009-07-14,10411.254
2009-07-15,10411.254
2009-07-16,10411.254
2009-07-17,10411.254
2009-07-20,10411.254
2009-07-21,10411.254
2009-07-22,10411.254
2009-07-23,10411.254
2009-07-24,10411.254
2009-07-27,10411.254
2009-07-28,10411.254
2009-07-29,10411.254
2009-07-30,10411.254
2009-07-31,10411.254
2009-08-03,10411.254
2009-08-04,10411.254
2009-08-05,10411.254
2009-08-06,10411.254
2009-08-07,10411.254
2009-08-10,10411.254
2009-08-11,10411.254
2009-08-12,10608.7656
2009-08-13,10608.7656
2009-08-14,10608.7656
2009-08-17,10608.7656
2009-08-18,10608.7656
2009-08-19,10608.7656
2009-08-20,10608.7656
2009-08-21,10608.7656
2009-08-24,10608.7656
2009-08-25,10608.7656
2009-08-26,10608.7656
2009-08-27,10608.7656
2009-08-28,10608.7656
2009-08-31,10608.7656
2009-09-01,10608.7656
2009-09-02,10615.5278
2009-09-03,10638.0197
2009-09-04,10638.0197
2009-09-08,10638.0197
2009-09-09,10638.0197
2009-09-10,10638.0197
2009-09-11,10638.0197
2009-09-14,10638.0197
2009-09-15,10638.0197
2009-09-16,10638.0197
2009-09-17,10638.0197
2009-09-18,10638.0197
2009-09-21,10638.0197
2009-09-22,10638.0197
2009-09-23,10638.0197
2009-09-24,10638.0197
2009-09-25,10638.0197
2009-09-28,10822.5785
2009-09-29,10822.5785
2009-09-30,10822.5785
2009-10-01,10822.5785
2009-10-02,10822.5785
2009-10-05,10966.9574
2009-10-06,10966.9574
2009-10-07,10966.9574
2009-10-08,10966.9574
2009-10-09,10966.9574
2009-10-12,10966.9574
2009-10-13,10966.9574
2009-10-14,10966.9574
2009-10-15,10966.9574
2009-10-16,10966.9574
2009-10-19,10966.9574
2009-10-20,10966.9574
2009-10-21,10966.9574
2009-10-22,11100.3266
2009-10-23,11100.3266
2009-10-26,10936.9488
2009-10-27,10886.0313
2009-10-28,10654.3451
2009-10-29,10901.7483
2009-10-30,10547.7671
2009-11-02,10624.7943
2009-11-03,10662.8313
2009-11-04,10683.5703
2009-11-05,10906.4681
2009-11-06,10947.0161
2009-11-09,10947.0161
2009-11-10,10947.0161
2009-11-11,10947.0161
2009-11-12,10947.0161
2009-11-13,10947.0161
2009-11-16,10947.0161
2009-11-17,10947.0161
2009-11-18,10947.0161
2009-11-19,10947.0161
2009-11-20,10947.0161
2009-11-23,10959.0454
2009-11-24,10959.0454
2009-11-25,10959.0454
2009-11-27,10959.0454
2009-11-30,11025.4211
2009-12-01,11025.4211
2009-12-02,11025.4211
2009-12-03,11025.4211
2009-12-04,11025.4211
2009-12-07,11025.4211
2009-12-08,11025.4211
2009-12-09,11085.2315
2009-12-10,11073.8296
2009-12-11,11157.3187
2009-12-14,11157.3187
2009-12-15,11157.3187
2009-12-16,11101.1488
2009-12-17,10891.4141
2009-12-18,10982.9623
2009-12-21,11154.7831
2009-12-22,11226.9717
2009-12-23,11226.9717
2009-12-24,11226.9717
2009-12-28,11226.9717
2009-12-29,11226.9717
2009-12-30,11226.9717
2009-12-31,11226.9717
2010-01-04,11385.3862
2010-01-05,11385.3862
2010-01-06,11385.3862
2010-01-07,11385.3862
2010-01-08,11385.3862
2010-01-11,11385.3862
2010-01-12,11385.3862
2010-01-13,11507.9488
2010-01-14,11507.9488
2010-01-15,11507.9488
2010-01-19,11777.7603
2010-01-20,11777.7603
2010-01-21,11777.7603
2010-01-22,11777.7603
2010-01-25,11712.411
2010-01-26,11650.8298
2010-01-27,11723.0328
2010-01-28,11551.2631
2010-01-29,11396.2607
2010-02-01,11610.4417
2010-02-02,11788.028
2010-02-03,11788.028
2010-02-04,11788.028
2010-02-05,11788.028
2010-02-08,11698.9464
2010-02-09,11839.2814
2010-02-10,11839.2814
2010-02-11,11839.2814
2010-02-12,11839.2814
2010-02-16,11839.2814
2010-02-17,11839.2814
2010-02-18,11839.2814
2010-02-19,11839.2814
2010-02-22,11839.2814
2010-02-23,11839.2814
2010-02-24,11920.4882
2010-02-25,12104.9798
2010-02-26,12104.9798
2010-03-01,12194.7714
2010-03-02,12194.7714
2010-03-03,12194.7714
2010-03-04,12194.7714
2010-03-05,12194.7714
2010-03-08,12194.7714
2010-03-09,12194.7714
2010-03-10,12194.7714
2010-03-11,12194.7714
2010-03-12,12194.7714
2010-03-15,12194.7714
2010-03-16,12194.7714
2010-03-17,12194.7714
2010-03-18,12194.7714
2010-03-19,12194.7714
2010-03-22,12194.7714
2010-03-23,12194.7714
2010-03-24,12194.7714
2010-03-25,12194.7714
2010-03-26,12194.7714
2010-03-29,12194.7714
2010-03-30,12194.7714
2010-03-31,12194.7714
2010-04-01,12194.7714
2010-04-05,12194.7714
2010-04-06,12194.7714
2010-04-07,12194.7714
2010-04-08,12194.7714
2010-04-09,12194.7714
2010-04-12,12194.7714
2010-04-13,12194.7714
2010-04-14,12194.7714
2010-04-15,12194.7714
2010-04-16,12194.7714
2010-04-19,12336.1434
2010-04-20,12336.1434
2010-04-21,12336.1434
2010-04-22,12336.1434
2010-04-23,12336.1434
2010-04-26,12336.1434
2010-04-27,12336.1434
2010-04-28,12373.1062
2010-04-29,12477.3056
2010-04-30,12477.3056
2010-05-03,12604.07
2010-05-04,12604.07
2010-05-05,12645.1237
2010-05-06,12302.2598
2010-05-07,12145.2946
2010-05-10,12586.8296
2010-05-11,12553.5407
2010-05-12,12715.3737
2010-05-13,12715.3737
2010-05-14,12715.3737
2010-05-17,12693.7548
2010-05-18,12574.2292
2010-05-19,12522.9796
2010-05-20,12198.8092
2010-05-21,12289.8488
2010-05-24,12209.5197
2010-05-25,12217.9271
2010-05-26,12165.7167
2010-05-27,12418.9405
2010-05-28,12311.2557
2010-06-01,12311.2557
2010-06-02,12458.9582
2010-06-03,12458.9582
2010-06-04,12458.9582
2010-06-07,12320.8871
2010-06-08,12401.5843
2010-06-09,12358.2719
2010-06-10,12612.4043
2010-06-11,12612.4043
2010-06-14,12612.4043
2010-06-15,12612.4043
2010-06-16,12612.4043
2010-06-17,12612.4043
2010-06-18,12612.4043
2010-06-21,12612.4043
2010-06-22,12612.4043
2010-06-23,12576.7565
2010-06-24,12427.236
2010-06-25,12482.4236
2010-06-28,12431.2424
2010-06-29,12168.2269
2010-06-30,12077.4407
2010-07-01,12061.2013
2010-07-02,12017.3763
2010-07-06,12063.4344
2010-07-07,12301.5244
2010-07-08,12301.5244
2010-07-09,12301.5244
2010-07-12,12301.5244
2010-07-13,12301.5244
2010-07-14,12301.5244
2010-07-15,12301.5244
2010-07-16,12301.5244
2010-07-19,12326.7927
2010-07-20,12326.7927
2010-07-21,12326.7927
2010-07-22,12326.7927
2010-07-23,12326.7927
2010-07-26,12326.7927
2010-07-27,12326.7927
2010-07-28,12326.7927
2010-07-29,12326.7927
2010-07-30,12326.7927
2010-08-02,12400.8394
2010-08-03,12400.8394
2010-08-04,12400.8394
2010-08-05,12400.8394
2010-08-06,12400.8394
2010-08-09,12400.8394
2010-08-10,12400.8394
2010-08-11,12400.8394
2010-08-12,12532.6287
2010-08-13,12532.6287
2010-08-16,12618.3084
2010-08-17,12618.3084
2010-08-18,12618.3084
2010-08-19,12618.3084
2010-08-20,12618.3084
2010-08-23,12618.3084
2010-08-24,12618.3084
2010-08-25,12752.4834
2010-08-26,12587.7136
2010-08-27,12816.522
2010-08-30,12627.7425
2010-08-31,12642.264
2010-09-01,13083.201
2010-09-02,13083.201
2010-09-03,13083.201
2010-09-07,13083.201
2010-09-08,13083.201
2010-09-09,13083.201
2010-09-10,13083.201
2010-09-13,13083.201
2010-09-14,13083.201
2010-09-15,13083.201
2010-09-16,13083.201
2010-09-17,13083.201
2010-09-20,13083.201
2010-09-21,13083.201
2010-09-22,13083.201
2010-09-23,13083.201
2010-09-24,13083.201
2010-09-27,13083.201
2010-09-28,13083.201
2010-09-29,13083.201
2010-09-30,13083.201
2010-10-01,13083.201
2010-10-04,13083.201
2010-10-05,13083.201
2010-10-06,13083.201
2010-10-07,13083.201
2010-10-08,13083.201
2010-10-11,13083.201
2010-10-12,13083.201
2010-10-13,13083.201
2010-10-14,13083.201
2010-10-15,13083.201
2010-10-18,13083.201
2010-10-19,13083.201
2010-10-20,13246.7524
2010-10-21,13246.7524
2010-10-22,13246.7524
2010-10-25,13246.7524
2010-10-26,13246.7524
2010-10-27,13246.7524
2010-10-28,13135.2956
2010-10-29,13140.3557
2010-11-01,13147.2496
2010-11-02,13325.5056
2010-11-03,13325.5056
2010-11-04,13325.5056
2010-11-05,13325.5056
2010-11-08,13325.5056
2010-11-09,13325.5056
2010-11-10,13422.2871
2010-11-11,13422.2871
2010-11-12,13422.2871
2010-11-15,13310.3052
2010-11-16,12936.9105
2010-11-17,12948.6195
2010-11-18,13280.618
2010-11-19,13340.9211
2010-11-22,13328.7477
2010-11-23,12972.0043
2010-11-24,13302.6761
2010-11-26,13095.2641
2010-11-29,13110.5554
2010-11-30,13110.5554
2010-12-01,13110.5554
2010-12-02,13110.5554
2010-12-03,13110.5554
2010-12-06,13110.5554
2010-12-07,13110.5554
2010-12-08,13110.5554
2010-12-09,13110.5554
2010-12-10,13110.5554
2010-12-13,13110.5554
2010-12-14,13110.5554
2010-12-15,13110.5554
