Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10234.229
2009-07-07,10234.229
2009-07-08,10096.8336
2009-07-09,10143.7131
2009-07-10,10070.9614
2009-07-13,10619.8797
2009-07-14,10619.8797
2009-07-15,10619.8797
2009-07-16,10619.8797
2009-07-17,10619.8797
2009-07-20,10619.8797
2009-07-21,10619.8797
2009-07-22,10619.8797
2009-07-23,10619.8797
2009-07-24,10619.8797
2009-07-27,10619.8797
2009-07-28,10619.8797
2009-07-29,10619.8797
2009-07-30,10619.8797
2009-07-31,10619.8797
2009-08-03,10619.8797
2009-08-04,10619.8797
2009-08-05,10619.8797
2009-08-06,10619.8797
2009-08-07,10619.8797
2009-08-10,10619.8797
2009-08-11,10619.8797
2009-08-12,10931.3909
2009-08-13,10931.3909
2009-08-14,10931.3909
2009-08-17,10931.3909
2009-08-18,10931.3909
2009-08-19,10931.3909
2009-08-20,10931.3909
2009-08-21,10931.3909
2009-08-24,10931.3909
2009-08-25,10931.3909
2009-08-26,10931.3909
2009-08-27,10931.3909
2009-08-28,10931.3909
2009-08-31,10931.3909
2009-09-01,10931.3909
2009-09-02,10945.8467
2009-09-03,10992.7453
2009-09-04,10992.7453
2009-09-08,10992.7453
2009-09-09,10992.7453
2009-09-10,10992.7453
2009-09-11,10992.7453
2009-09-14,10992.7453
2009-09-15,10992.7453
2009-09-16,10992.7453
2009-09-17,10992.7453
2009-09-18,10992.7453
2009-09-21,10992.7453
2009-09-22,10992.7453
2009-09-23,10992.7453
2009-09-24,10992.7453
2009-09-25,10992.7453
2009-09-28,11331.8086
2009-09-29,11331.8086
2009-09-30,11331.8086
2009-10-01,11331.8086
2009-10-02,11331.8086
2009-10-05,11606.0137
2009-10-06,11606.0137
2009-10-07,11606.0137
2009-10-08,11606.0137
2009-10-09,11606.0137
2009-10-12,11606.0137
2009-10-13,11606.0137
2009-10-14,11606.0137
2009-10-15,11606.0137
2009-10-16,11606.0137
2009-10-19,11606.0137
2009-10-20,11606.0137
2009-10-21,11606.0137
2009-10-22,11872.2369
2009-10-23,11872.2369
2009-10-26,11537.4707
2009-10-27,11433.139
2009-10-28,10958.4064
2009-10-29,11465.3437
2009-10-30,10740.0247
2009-11-02,10897.856
2009-11-03,10975.795
2009-11-04,11018.2899
2009-11-05,11475.0146
2009-11-06,11558.0988
2009-11-09,11558.0988
2009-11-10,11558.0988
2009-11-11,11558.0988
2009-11-12,11558.0988
2009-11-13,11558.0988
2009-11-16,11558.0988
2009-11-17,11558.0988
2009-11-18,11558.0988
2009-11-19,11558.0988
2009-11-20,11558.0988
2009-11-23,11588.1482
2009-11-24,11588.1482
2009-11-25,11588.1482
2009-11-27,11588.1482
2009-11-30,11711.2625
2009-12-01,11711.2625
2009-12-02,11711.2625
2009-12-03,11711.2625
2009-12-04,11711.2625
2009-12-07,11711.2625
2009-12-08,11711.2625
2009-12-09,11807.8858
2009-12-10,11790.0645
2009-12-11,11920.5597
2009-12-14,11920.5597
2009-12-15,11920.5597
2009-12-16,11837.783
2009-12-17,11528.7003
2009-12-18,11663.6135
2009-12-21,11916.8231
2009-12-22,12023.2063
2009-12-23,12023.2063
2009-12-24,12023.2063
2009-12-28,12023.2063
2009-12-29,12023.2063
2009-12-30,12023.2063
2009-12-31,12023.2063
2010-01-04,12236.687
2010-01-05,12236.687
2010-01-06,12236.687
2010-01-07,12236.687
2010-01-08,12236.687
2010-01-11,12236.687
2010-01-12,12236.687
2010-01-13,12401.3671
2010-01-14,12401.3671
2010-01-15,12401.3671
2010-01-19,12768.2257
2010-01-20,12768.2257
2010-01-21,12768.2257
2010-01-22,12768.2257
2010-01-25,12642.0748
2010-01-26,12523.1981
2010-01-27,12662.5792
2010-01-28,12330.9938
2010-01-29,12031.776
2010-02-01,12445.2326
2010-02-02,12788.0466
2010-02-03,12788.0466
2010-02-04,12788.0466
2010-02-05,12788.0466
2010-02-08,12573.1001
2010-02-09,12911.7168
2010-02-10,12911.7168
2010-02-11,12911.7168
2010-02-12,12911.7168
2010-02-16,12911.7168
2010-02-17,12911.7168
2010-02-18,12911.7168
2010-02-19,12911.7168
2010-02-22,12911.7168
2010-02-23,12911.7168
2010-02-24,13096.7557
2010-02-25,13507.0088
2010-02-26,13507.0088
2010-03-01,13697.2681
2010-03-02,13697.2681
2010-03-03,13697.2681
2010-03-04,13697.2681
2010-03-05,13697.2681
2010-03-08,13697.2681
2010-03-09,13697.2681
2010-03-10,13697.2681
2010-03-11,13697.2681
2010-03-12,13697.2681
2010-03-15,13697.2681
2010-03-16,13697.2681
2010-03-17,13697.2681
2010-03-18,13697.2681
2010-03-19,13697.2681
2010-03-22,13697.2681
2010-03-23,13697.2681
2010-03-24,13697.2681
2010-03-25,13697.2681
2010-03-26,13697.2681
2010-03-29,13697.2681
2010-03-30,13697.2681
2010-03-31,13697.2681
2010-04-01,13697.2681
2010-04-05,13697.2681
2010-04-06,13697.2681
2010-04-07,13697.2681
2010-04-08,13697.2681
2010-04-09,13697.2681
2010-04-12,13697.2681
2010-04-13,13697.2681
2010-04-14,13697.2681
2010-04-15,13697.2681
2010-04-16,13697.2681
2010-04-19,13895.7601
2010-04-20,13895.7601
2010-04-21,13895.7601
2010-04-22,13895.7601
2010-04-23,13895.7601
2010-04-26,13895.7601
2010-04-27,13895.7601
2010-04-28,13959.4818
2010-04-29,14146.0861
2010-04-30,14146.0861
2010-05-03,14406.1141
2010-05-04,14406.1141
2010-05-05,14503.1988
2010-05-06,13548.2787
2010-05-07,13111.1104
2010-05-10,14340.8424
2010-05-11,14248.1285
2010-05-12,14698.8542
2010-05-13,14698.8542
2010-05-14,14698.8542
2010-05-17,14619.9521
2010-05-18,14183.7215
2010-05-19,13996.6771
2010-05-20,12813.5582
2010-05-21,13145.8237
2010-05-24,12852.6482
2010-05-25,12883.3324
2010-05-26,12692.7812
2010-05-27,13616.9672
2010-05-28,13223.9522
2010-06-01,13223.9522
2010-06-02,13819.2739
2010-06-03,13819.2739
2010-06-04,13819.2739
2010-06-07,13329.3836
2010-06-08,13615.7056
2010-06-09,13462.0286
2010-06-10,14363.7159
2010-06-11,14363.7159
2010-06-14,14363.7159
2010-06-15,14363.7159
2010-06-16,14363.7159
2010-06-17,14363.7159
2010-06-18,14363.7159
2010-06-21,14363.7159
2010-06-22,14363.7159
2010-06-23,14238.6663
2010-06-24,13714.1607
2010-06-25,13907.7543
2010-06-28,13728.2151
2010-06-29,12805.5783
2010-06-30,12487.1079
2010-07-01,12430.1415
2010-07-02,12276.4071
2010-07-06,12437.9751
2010-07-07,13273.1751
2010-07-08,13273.1751
2010-07-09,13273.1751
2010-07-12,13273.1751
2010-07-13,13273.1751
2010-07-14,13273.1751
2010-07-15,13273.1751
2010-07-16,13273.1751
2010-07-19,13344.3096
2010-07-20,13344.3096
2010-07-21,13344.3096
2010-07-22,13344.3096
2010-07-23,13344.3096
2010-07-26,13344.3096
2010-07-27,13344.3096
2010-07-28,13344.3096
2010-07-29,13344.3096
2010-07-30,13344.3096
2010-08-02,13535.9002
2010-08-03,13535.9002
2010-08-04,13535.9002
2010-08-05,13535.9002
2010-08-06,13535.9002
2010-08-09,13535.9002
2010-08-10,13535.9002
2010-08-11,13535.9002
2010-08-12,13836.2691
2010-08-13,13836.2691
2010-08-16,14029.0405
2010-08-17,14029.0405
2010-08-18,14029.0405
2010-08-19,14029.0405
2010-08-20,14029.0405
2010-08-23,14029.0405
2010-08-24,14029.0405
2010-08-25,14312.117
2010-08-26,13960.007
2010-08-27,14448.9663
2010-08-30,14061.2192
2010-08-31,14091.0459
2010-09-01,14996.7165
2010-09-02,14996.7165
2010-09-03,14996.7165
2010-09-07,14996.7165
2010-09-08,14996.7165
2010-09-09,14996.7165
2010-09-10,14996.7165
2010-09-13,14996.7165
2010-09-14,14996.7165
2010-09-15,14996.7165
2010-09-16,14996.7165
2010-09-17,14996.7165
2010-09-20,14996.7165
2010-09-21,14996.7165
2010-09-22,14996.7165
2010-09-23,14996.7165
2010-09-24,14996.7165
2010-09-27,14996.7165
2010-09-28,14996.7165
2010-09-29,14996.7165
2010-09-30,14996.7165
2010-10-01,14996.7165
2010-10-04,14996.7165
2010-10-05,14996.7165
2010-10-06,14996.7165
2010-10-07,14996.7165
2010-10-08,14996.7165
2010-10-11,14996.7165
2010-10-12,14996.7165
2010-10-13,14996.7165
2010-10-14,14996.7165
2010-10-15,14996.7165
2010-10-18,14996.7165
2010-10-19,14996.7165
2010-10-20,15251.2865
2010-10-21,15251.2865
2010-10-22,15251.2865
2010-10-25,15251.2865
2010-10-26,15251.2865
2010-10-27,15251.2865
2010-10-28,15090.8951
2010-10-29,15098.1768
2010-11-01,15108.0974
2010-11-02,15364.616
2010-11-03,15364.616
2010-11-04,15364.616
2010-11-05,15364.616
2010-11-08,15364.616
2010-11-09,15364.616
2010-11-10,15504.1201
2010-11-11,15504.1201
2010-11-12,15504.1201
2010-11-15,15342.4434
2010-11-16,14803.3457
2010-11-17,14820.2509
2010-11-18,15299.5819
2010-11-19,15386.6459
2010-11-22,15369.0703
2010-11-23,14854.0133
2010-11-24,15331.4287
2010-11-26,15031.9725
2010-11-29,15054.0498
2010-11-30,15054.0498
2010-12-01,15054.0498
2010-12-02,15054.0498
2010-12-03,15054.0498
2010-12-06,15054.0498
2010-12-07,15054.0498
2010-12-08,15054.0498
2010-12-09,15054.0498
