Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,7100,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,234.229
2009-07-08,Lex,1.0413,7371,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,385.6507
2009-08-12,Lex,1.4624,5446,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,311.5112
2009-09-02,Lex,1.4631,5603,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,14.4557
2009-09-03,Lex,1.4896,5511,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,46.8986
2009-09-28,Lex,1.7152,4806,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,339.0633
2009-10-05,Lex,1.6165,5257,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,274.2051
2009-10-22,Lex,1.8713,4651,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,266.2232
2009-10-26,Lex,1.869,4764,1.8031,Exp,2009-11-06,1.9264,1.6059,10,0,6,2009-10-26,2009-11-02,0.1664,-314.1382
2009-11-23,Lex,1.9817,4374,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,30.0494
2009-11-30,Lex,1.9108,4548,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,123.1144
2009-12-09,Lex,1.9141,4588,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,96.6233
2009-12-10,Lex,1.9728,4489,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,112.6739
2009-12-16,Lex,2.0335,4396,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,102.6466
2010-01-04,Lex,2.0916,4311,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,213.4807
2010-01-13,Lex,2.177,4215,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,164.6801
2010-01-19,Lex,2.1545,4317,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,366.8587
2010-01-25,Lex,1.9613,4882,1.9654,PnL,2010-02-02,1.9732,1.8018,7,2,5,2010-01-26,2010-01-29,0.0869,19.8209
2010-02-08,Lex,1.7703,5417,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,123.6701
2010-02-24,Lex,1.9378,4997,1.9748,PnL,2010-02-24,1.983,1.9245,1,0,0,2010-02-24,2010-02-24,0.0295,185.0389
2010-02-25,Lex,1.8893,5199,1.9682,PnL,2010-02-25,1.97,1.8736,1,0,0,2010-02-25,2010-02-25,0.0489,410.2531
2010-03-01,Lex,1.9942,5079,2.0317,PnL,2010-03-01,2.0381,1.9936,1,0,0,2010-03-01,2010-03-01,0.0218,190.2593
2010-04-19,Lex,2.4634,4170,2.511,PnL,2010-04-19,2.5199,2.4296,1,0,0,2010-04-19,2010-04-19,0.0358,198.492
2010-04-28,Lex,2.4613,4234,2.4764,PnL,2010-04-28,2.4994,2.414,1,0,0,2010-04-28,2010-04-28,0.0342,63.7217
2010-04-29,Lex,2.5262,4144,2.5712,PnL,2010-04-29,2.588,2.5232,1,0,0,2010-04-29,2010-04-29,0.025,186.6043
2010-05-03,Lex,2.478,4281,2.5387,PnL,2010-05-03,2.5567,2.4657,1,0,0,2010-05-03,2010-05-03,0.0356,260.0279
2010-05-05,Lex,2.2956,4706,2.3162,PnL,2010-05-05,2.3737,2.2659,1,0,0,2010-05-05,2010-05-05,0.0454,97.0848
