Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10312.3163
2009-07-07,10312.3163
2009-07-08,10127.7244
2009-07-09,10127.7244
2009-07-10,10127.7244
2009-07-13,10127.7244
2009-07-14,10127.7244
2009-07-15,10127.7244
2009-07-16,10127.7244
2009-07-17,10127.7244
2009-07-20,10127.7244
2009-07-21,10127.7244
2009-07-22,10127.7244
2009-07-23,10127.7244
2009-07-24,10127.7244
2009-07-27,10127.7244
2009-07-28,10127.7244
2009-07-29,10127.7244
2009-07-30,10127.7244
2009-07-31,10127.7244
2009-08-03,10127.7244
2009-08-04,10127.7244
2009-08-05,10127.7244
2009-08-06,10127.7244
2009-08-07,10127.7244
2009-08-10,10127.7244
2009-08-11,10127.7244
2009-08-12,10523.8344
2009-08-13,10523.8344
2009-08-14,10523.8344
2009-08-17,10523.8344
2009-08-18,10523.8344
2009-08-19,10523.8344
2009-08-20,10523.8344
2009-08-21,10523.8344
2009-08-24,10523.8344
2009-08-25,10523.8344
2009-08-26,10523.8344
2009-08-27,10523.8344
2009-08-28,10523.8344
2009-08-31,10523.8344
2009-09-01,10523.8344
2009-09-02,10542.3898
2009-09-03,10602.615
2009-09-04,10602.615
2009-09-08,10602.615
2009-09-09,10602.615
2009-09-10,10602.615
2009-09-11,10602.615
2009-09-14,10602.615
2009-09-15,10602.615
2009-09-16,10602.615
2009-09-17,10602.615
2009-09-18,10602.615
2009-09-21,10602.615
2009-09-22,10602.615
2009-09-23,10602.615
2009-09-24,10602.615
2009-09-25,10602.615
2009-09-28,11038.6846
2009-09-29,11038.6846
2009-09-30,11038.6846
2009-10-01,11038.6846
2009-10-02,11038.6846
2009-10-05,11394.8331
2009-10-06,11394.8331
2009-10-07,11394.8331
2009-10-08,11394.8331
2009-10-09,11394.8331
2009-10-12,11394.8331
2009-10-13,11394.8331
2009-10-14,11394.8331
2009-10-15,11394.8331
2009-10-16,11394.8331
2009-10-19,11394.8331
2009-10-20,11394.8331
2009-10-21,11394.8331
2009-10-22,11743.3674
2009-10-23,11743.3674
2009-10-26,11301.861
2009-10-27,11301.861
2009-10-28,11301.861
2009-10-29,11301.861
2009-10-30,11301.861
2009-11-02,11301.861
2009-11-03,11301.861
2009-11-04,11301.861
2009-11-05,11301.861
2009-11-06,11301.861
2009-11-09,11301.861
2009-11-10,11301.861
2009-11-11,11301.861
2009-11-12,11301.861
2009-11-13,11301.861
2009-11-16,11301.861
2009-11-17,11301.861
2009-11-18,11301.861
2009-11-19,11301.861
2009-11-20,11301.861
2009-11-23,11341.0406
2009-11-24,11341.0406
2009-11-25,11341.0406
2009-11-27,11341.0406
2009-11-30,11501.7011
2009-12-01,11501.7011
2009-12-02,11501.7011
2009-12-03,11501.7011
2009-12-04,11501.7011
2009-12-07,11501.7011
2009-12-08,11501.7011
2009-12-09,11628.2296
2009-12-10,11604.8304
2009-12-11,11776.169
2009-12-14,11776.169
2009-12-15,11776.169
2009-12-16,11667.1244
2009-12-17,11259.9592
2009-12-18,11259.9592
2009-12-21,11259.9592
2009-12-22,11259.9592
2009-12-23,11259.9592
2009-12-24,11259.9592
2009-12-28,11259.9592
2009-12-29,11259.9592
2009-12-30,11259.9592
2009-12-31,11259.9592
2010-01-04,11526.5254
2010-01-05,11526.5254
2010-01-06,11526.5254
2010-01-07,11526.5254
2010-01-08,11526.5254
2010-01-11,11526.5254
2010-01-12,11526.5254
2010-01-13,11733.362
2010-01-14,11733.362
2010-01-15,11733.362
2010-01-19,12196.0781
2010-01-20,12196.0781
2010-01-21,12196.0781
2010-01-22,12196.0781
2010-01-25,12035.4049
2010-01-26,11883.9966
2010-01-27,11883.9966
2010-01-28,11883.9966
2010-01-29,11883.9966
2010-02-01,11883.9966
2010-02-02,11883.9966
2010-02-03,11883.9966
2010-02-04,11883.9966
2010-02-05,11883.9966
2010-02-08,11617.6645
2010-02-09,11617.6645
2010-02-10,11617.6645
2010-02-11,11617.6645
2010-02-12,11617.6645
2010-02-16,11617.6645
2010-02-17,11617.6645
2010-02-18,11617.6645
2010-02-19,11617.6645
2010-02-22,11617.6645
2010-02-23,11617.6645
2010-02-24,11839.6593
2010-02-25,12334.1094
2010-02-26,12334.1094
2010-03-01,12565.762
2010-03-02,12565.762
2010-03-03,12565.762
2010-03-04,12565.762
2010-03-05,12565.762
2010-03-08,12565.762
2010-03-09,12565.762
2010-03-10,12565.762
2010-03-11,12565.762
2010-03-12,12565.762
2010-03-15,12565.762
2010-03-16,12565.762
2010-03-17,12565.762
2010-03-18,12565.762
2010-03-19,12565.762
2010-03-22,12565.762
2010-03-23,12565.762
2010-03-24,12565.762
2010-03-25,12565.762
2010-03-26,12565.762
2010-03-29,12565.762
2010-03-30,12565.762
2010-03-31,12565.762
2010-04-01,12565.762
2010-04-05,12565.762
2010-04-06,12565.762
2010-04-07,12565.762
2010-04-08,12565.762
2010-04-09,12565.762
2010-04-12,12565.762
2010-04-13,12565.762
2010-04-14,12565.762
2010-04-15,12565.762
2010-04-16,12565.762
2010-04-19,12808.522
2010-04-20,12808.522
2010-04-21,12808.522
2010-04-22,12808.522
2010-04-23,12808.522
2010-04-26,12808.522
2010-04-27,12808.522
2010-04-28,12886.8272
2010-04-29,13116.5252
2010-04-30,13116.5252
2010-05-03,13438.022
2010-05-04,13438.022
2010-05-05,13558.7694
2010-05-06,12368.3812
2010-05-07,12368.3812
2010-05-10,12368.3812
2010-05-11,12368.3812
2010-05-12,12368.3812
2010-05-13,12368.3812
2010-05-14,12368.3812
2010-05-17,12368.3812
2010-05-18,12368.3812
2010-05-19,12368.3812
2010-05-20,12368.3812
2010-05-21,12368.3812
2010-05-24,12105.7854
2010-05-25,12105.7854
2010-05-26,12105.7854
2010-05-27,12105.7854
2010-05-28,12105.7854
2010-06-01,12105.7854
2010-06-02,12105.7854
2010-06-03,12105.7854
2010-06-04,12105.7854
2010-06-07,11533.5772
2010-06-08,11533.5772
2010-06-09,11533.5772
2010-06-10,11533.5772
2010-06-11,11533.5772
2010-06-14,11533.5772
2010-06-15,11533.5772
2010-06-16,11533.5772
2010-06-17,11533.5772
2010-06-18,11533.5772
2010-06-21,11533.5772
2010-06-22,11533.5772
2010-06-23,11399.6916
2010-06-24,10838.1246
2010-06-25,10838.1246
2010-06-28,10838.1246
2010-06-29,10838.1246
2010-06-30,10838.1246
2010-07-01,10838.1246
2010-07-02,10838.1246
2010-07-06,10838.1246
2010-07-07,10838.1246
2010-07-08,10838.1246
2010-07-09,10838.1246
2010-07-12,10838.1246
2010-07-13,10838.1246
2010-07-14,10838.1246
2010-07-15,10838.1246
2010-07-16,10838.1246
2010-07-19,10915.5762
2010-07-20,10915.5762
2010-07-21,10915.5762
2010-07-22,10915.5762
2010-07-23,10915.5762
2010-07-26,10915.5762
2010-07-27,10915.5762
2010-07-28,10915.5762
2010-07-29,10915.5762
2010-07-30,10915.5762
2010-08-02,11124.5432
2010-08-03,11124.5432
2010-08-04,11124.5432
2010-08-05,11124.5432
2010-08-06,11124.5432
2010-08-09,11124.5432
2010-08-10,11124.5432
2010-08-11,11124.5432
2010-08-12,11453.709
2010-08-13,11453.709
2010-08-16,11666.4777
2010-08-17,11666.4777
2010-08-18,11666.4777
2010-08-19,11666.4777
2010-08-20,11666.4777
2010-08-23,11666.4777
2010-08-24,11666.4777
2010-08-25,11980.3851
2010-08-26,11587.397
2010-08-27,11587.397
2010-08-30,11587.397
2010-08-31,11587.397
2010-09-01,11587.397
2010-09-02,11587.397
2010-09-03,11587.397
2010-09-07,11587.397
2010-09-08,11587.397
2010-09-09,11587.397
2010-09-10,11587.397
2010-09-13,11587.397
2010-09-14,11587.397
2010-09-15,11587.397
2010-09-16,11587.397
2010-09-17,11587.397
2010-09-20,11587.397
2010-09-21,11587.397
2010-09-22,11587.397
2010-09-23,11587.397
2010-09-24,11587.397
2010-09-27,11587.397
2010-09-28,11587.397
2010-09-29,11587.397
2010-09-30,11587.397
2010-10-01,11587.397
2010-10-04,11587.397
2010-10-05,11587.397
2010-10-06,11587.397
2010-10-07,11587.397
2010-10-08,11587.397
2010-10-11,11587.397
2010-10-12,11587.397
2010-10-13,11587.397
2010-10-14,11587.397
2010-10-15,11587.397
2010-10-18,11587.397
2010-10-19,11587.397
2010-10-20,11849.6735
2010-10-21,11849.6735
2010-10-22,11849.6735
2010-10-25,11849.6735
2010-10-26,11849.6735
2010-10-27,11849.6735
2010-10-28,11683.5059
2010-10-29,11691.0498
2010-11-01,11701.3276
2010-11-02,11967.0845
2010-11-03,11967.0845
2010-11-04,11967.0845
2010-11-05,11967.0845
2010-11-08,11967.0845
2010-11-09,11967.0845
2010-11-10,12111.9553
2010-11-11,12111.9553
2010-11-12,12111.9553
2010-11-15,11943.5604
2010-11-16,11382.0612
2010-11-17,11382.0612
2010-11-18,11382.0612
2010-11-19,11382.0612
2010-11-22,11382.0612
2010-11-23,11382.0612
2010-11-24,11382.0612
2010-11-26,11382.0612
2010-11-29,11382.0612
2010-11-30,11382.0612
2010-12-01,11382.0612
2010-12-02,11382.0612
2010-12-03,11382.0612
2010-12-06,11382.0612
2010-12-07,11382.0612
2010-12-08,11382.0612
2010-12-09,11382.0612
2010-12-10,11382.0612
2010-12-13,11382.0612
2010-12-14,11382.0612
2010-12-15,11382.0612
2010-12-16,11510.85
2010-12-17,11510.85
2010-12-20,11510.85
2010-12-21,11510.85
