Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,9467,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,312.3163
2009-07-08,Lex,1.0413,9903,1.0227,-0.015_Stop,2009-07-08,1.0475,0.9866,1,0,0,2009-07-08,2009-07-08,0.0581,-184.5919
2009-08-12,Lex,1.4624,6925,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,396.11
2009-09-02,Lex,1.4631,7192,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,18.5554
2009-09-03,Lex,1.4896,7077,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,60.2253
2009-09-28,Lex,1.7152,6181,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,436.0695
2009-10-05,Lex,1.6165,6828,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,356.1485
2009-10-22,Lex,1.8713,6089,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,348.5344
2009-10-26,Lex,1.869,6283,1.7987,-0.015_Stop,2009-10-26,1.9264,1.7871,1,0,0,2009-10-26,2009-10-26,0.0723,-441.5064
2009-11-23,Lex,1.9817,5703,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,39.1796
2009-11-30,Lex,1.9108,5935,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,160.6604
2009-12-09,Lex,1.9141,6008,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,126.5285
2009-12-10,Lex,1.9728,5894,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,147.9394
2009-12-16,Lex,2.0335,5791,1.9444,-0.015_Stop,2009-12-17,2.05,2.0035,2,0,0,2009-12-16,2009-12-16,0.0227,-516.2097
2010-01-04,Lex,2.0916,5383,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,266.5662
2010-01-13,Lex,2.177,5294,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,206.8366
2010-01-19,Lex,2.1545,5445,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,462.7161
2010-01-25,Lex,1.9613,6218,1.9111,-0.015_Stop,2010-01-26,1.9698,1.9196,2,0,0,2010-01-25,2010-01-25,0.0255,-312.0814
2010-02-08,Lex,1.7703,6712,1.7306,-0.015_Stop,2010-02-08,1.7995,1.7237,1,0,0,2010-02-08,2010-02-08,0.0421,-266.3322
2010-02-24,Lex,1.9378,5995,1.9748,PnL,2010-02-24,1.983,1.9245,1,0,0,2010-02-24,2010-02-24,0.0295,221.9949
2010-02-25,Lex,1.8893,6266,1.9682,PnL,2010-02-25,1.97,1.8736,1,0,0,2010-02-25,2010-02-25,0.0489,494.4501
2010-03-01,Lex,1.9942,6184,2.0317,PnL,2010-03-01,2.0381,1.9936,1,0,0,2010-03-01,2010-03-01,0.0218,231.6526
2010-04-19,Lex,2.4634,5100,2.511,PnL,2010-04-19,2.5199,2.4296,1,0,0,2010-04-19,2010-04-19,0.0358,242.76
2010-04-28,Lex,2.4613,5203,2.4764,PnL,2010-04-28,2.4994,2.414,1,0,0,2010-04-28,2010-04-28,0.0342,78.3052
2010-04-29,Lex,2.5262,5101,2.5712,PnL,2010-04-29,2.588,2.5232,1,0,0,2010-04-29,2010-04-29,0.025,229.698
2010-05-03,Lex,2.478,5293,2.5387,PnL,2010-05-03,2.5567,2.4657,1,0,0,2010-05-03,2010-05-03,0.0356,321.4968
2010-05-05,Lex,2.2956,5853,2.3162,PnL,2010-05-05,2.3737,2.2659,1,0,0,2010-05-05,2010-05-05,0.0454,120.7474
2010-05-06,Lex,2.2862,5930,2.0855,-0.015_Stop,2010-05-06,2.3242,1.4543,1,0,0,2010-05-06,2010-05-06,0.3743,-1190.3882
2010-05-24,Lex,1.8179,6803,1.7793,-0.015_Stop,2010-05-24,1.864,1.7742,1,0,0,2010-05-24,2010-05-24,0.0482,-262.5958
2010-06-07,Lex,1.7346,6979,1.6526,-0.015_Stop,2010-06-07,1.7535,1.6479,1,0,0,2010-06-07,2010-06-07,0.0602,-572.2082
2010-06-23,Lex,1.8701,6167,1.7573,-0.015_Stop,2010-06-24,1.8896,1.8105,2,0,0,2010-06-23,2010-06-23,0.0419,-695.4526
2010-07-19,Lex,1.7197,6302,1.732,PnL,2010-07-19,1.7458,1.6786,1,0,0,2010-07-19,2010-07-19,0.0385,77.4516
2010-08-02,Lex,1.9602,5568,1.9977,PnL,2010-08-02,2.0075,1.9366,1,0,0,2010-08-02,2010-08-02,0.0353,208.967
2010-08-12,Lex,1.7317,6424,1.7829,PnL,2010-08-12,1.8,1.7298,1,0,0,2010-08-12,2010-08-12,0.039,329.1658
2010-08-16,Lex,1.7306,6618,1.7628,PnL,2010-08-16,1.779,1.7102,1,0,0,2010-08-16,2010-08-16,0.0387,212.7687
2010-08-25,Lex,1.6003,7290,1.6434,PnL,2010-08-25,1.6641,1.57,1,0,0,2010-08-25,2010-08-25,0.0565,313.9074
2010-08-26,Lex,1.6659,7191,1.6112,-0.015_Stop,2010-08-26,1.6759,1.5966,1,0,0,2010-08-26,2010-08-26,0.0473,-392.9881
2010-10-20,Lex,2.2251,5207,2.2755,PnL,2010-10-20,2.3069,2.2192,1,0,0,2010-10-20,2010-10-20,0.038,262.2766
2010-10-28,Lex,2.3403,5063,2.3635,PnL,2010-11-02,2.3827,2.2713,4,3,0,2010-11-01,2010-10-28,0.0468,117.411
2010-11-10,Lex,2.4904,4805,2.5206,PnL,2010-11-10,2.5248,2.4342,1,0,0,2010-11-10,2010-11-10,0.0359,144.8707
2010-11-15,Lex,2.4279,4988,2.2816,-0.015_Stop,2010-11-16,2.4548,2.3912,2,0,0,2010-11-15,2010-11-15,0.0259,-729.894
2010-12-16,Lex,2.6447,4303,2.6746,PnL,2010-12-16,2.6806,2.6063,1,0,0,2010-12-16,2010-12-16,0.0277,128.7888
2011-01-24,Lex,2.9421,3912,2.9978,PnL,2011-01-24,3.008,2.94,1,0,0,2011-01-24,2011-01-24,0.0226,218.0158
2011-01-31,Lex,2.9236,4011,2.9616,PnL,2011-01-31,2.9699,2.9009,1,0,0,2011-01-31,2011-01-31,0.0232,152.4982
2011-02-24,Lex,3.1066,3824,3.115,PnL,2011-02-24,3.1462,3.0224,1,0,0,2011-02-24,2011-02-24,0.0393,32.1981
2011-03-02,Lex,3.0924,3852,3.1217,PnL,2011-03-02,3.168,3.0818,1,0,0,2011-03-02,2011-03-02,0.0272,112.7095
2011-03-03,Lex,3.2116,3744,3.2828,PnL,2011-03-03,3.2966,3.2083,1,0,0,2011-03-03,2011-03-03,0.0268,266.5354
2011-03-16,Lex,2.9032,4234,2.766,-0.015_Stop,2011-03-16,2.9288,2.7046,1,0,0,2011-03-16,2011-03-16,0.0766,-580.7354
2011-04-13,Lex,3.201,3658,3.0936,-0.015_Stop,2011-04-18,3.2193,3.0696,4,3,2,2011-04-15,2011-04-14,0.0465,-392.9058
2011-05-04,Lex,3.4622,3269,3.3971,-0.015_Stop,2011-05-04,3.4639,3.3491,1,0,0,2011-05-04,2011-05-04,0.0331,-212.7138
2011-06-02,Lex,3.1656,3508,3.0574,-0.015_Stop,2011-06-03,3.1851,3.0936,2,0,0,2011-06-02,2011-06-02,0.0287,-379.6708
2011-06-16,Lex,2.8165,3808,2.8267,PnL,2011-06-16,2.8747,2.766,1,0,0,2011-06-16,2011-06-16,0.0378,38.7274
2011-07-13,Lex,3.1904,3374,3.1111,-0.015_Stop,2011-07-14,3.2718,3.1514,2,0,0,2011-07-13,2011-07-13,0.0368,-267.6257
2011-07-28,Lex,3.0732,3415,2.985,-0.015_Stop,2011-07-29,3.1538,3.0317,2,0,0,2011-07-28,2011-07-28,0.0387,-301.3737
2011-08-11,Lex,1.9254,5295,2.1264,PnL,2011-08-11,2.2078,1.9083,1,0,0,2011-08-11,2011-08-11,0.1357,1064.3479
2011-08-22,Lex,1.9901,5658,1.8709,-0.015_Stop,2011-08-22,1.9925,1.8526,1,0,0,2011-08-22,2011-08-22,0.0702,-674.5468
2011-09-06,Lex,1.9282,5490,2.067,PnL,2011-09-06,2.0759,1.9282,1,0,0,2011-09-06,2011-09-06,0.0711,762.012
2011-09-22,Lex,1.8818,6030,1.8867,PnL,2011-09-23,1.9311,1.778,2,0,0,2011-09-22,2011-09-22,0.0793,29.4867
2011-09-26,Lex,1.9449,5850,2.0227,PnL,2011-09-26,2.0341,1.8643,1,0,0,2011-09-26,2011-09-26,0.0835,454.9545
2011-10-26,Lex,2.4302,4869,2.6741,PnL,2011-10-27,2.4522,2.3073,2,0,0,2011-10-26,2011-10-26,0.0591,1187.5004
2011-11-02,Lex,2.3789,5473,2.3875,PnL,2011-11-02,2.4103,2.3207,1,0,0,2011-11-02,2011-11-02,0.0372,46.9036
2011-11-03,Lex,2.4717,5286,2.5157,PnL,2011-11-03,2.5312,2.3651,1,0,0,2011-11-03,2011-11-03,0.0656,232.6897
2011-11-07,Lex,2.4693,5386,2.5157,PnL,2011-11-07,2.5239,2.396,1,0,0,2011-11-07,2011-11-07,0.0507,250.0181
2011-11-10,Lex,2.418,5603,2.5271,PnL,2011-11-11,2.4245,2.3174,2,0,0,2011-11-10,2011-11-10,0.0442,611.3994
2011-11-17,Lex,2.3578,6006,2.2568,-0.015_Stop,2011-11-17,2.3744,2.2059,1,0,0,2011-11-17,2011-11-17,0.071,-606.7261
2011-12-14,Lex,2.2486,6027,2.1986,-0.015_Stop,2011-12-14,2.2731,2.1871,1,0,0,2011-12-14,2011-12-14,0.0378,-301.6514
2011-12-29,Lex,2.4323,5448,2.4815,PnL,2011-12-29,2.4876,2.4286,1,0,0,2011-12-29,2011-12-29,0.0237,268.1506
2012-01-03,Lex,2.5764,5248,2.5976,PnL,2012-01-05,2.6118,2.5141,3,0,2,2012-01-03,2012-01-04,0.0374,110.9952
2012-02-16,Lex,2.9994,4544,3.0951,PnL,2012-02-16,3.1065,2.9847,1,0,0,2012-02-16,2012-02-16,0.0392,434.7699
2012-02-23,Lex,3.0918,4549,3.1407,PnL,2012-02-23,3.1435,3.0605,1,0,0,2012-02-23,2012-02-23,0.0264,222.3551
2012-03-07,Lex,3.0271,4720,3.0682,PnL,2012-03-07,3.0825,3.0169,1,0,0,2012-03-07,2012-03-07,0.0213,194.0392
2012-03-08,Lex,3.1244,4635,3.1602,PnL,2012-03-08,3.1777,3.1053,1,0,0,2012-03-08,2012-03-08,0.0228,166.0257
2012-03-26,Lex,3.4542,4240,3.5226,PnL,2012-03-26,3.549,3.4517,1,0,0,2012-03-26,2012-03-26,0.0274,289.8888
2012-03-29,Lex,3.378,4422,3.4212,PnL,2012-03-29,3.4359,3.3381,1,0,0,2012-03-29,2012-03-29,0.0285,191.0304
2012-04-09,Lex,3.2567,4645,3.2758,PnL,2012-04-09,3.3129,3.2453,1,0,0,2012-04-09,2012-04-09,0.0204,88.9518
2012-04-11,Lex,3.2046,4749,3.3113,PnL,2012-04-12,3.2197,3.1659,2,0,0,2012-04-11,2012-04-11,0.0167,506.5758
2012-04-16,Lex,3.238,4856,3.1761,-0.015_Stop,2012-04-16,3.251,3.1492,1,0,0,2012-04-16,2012-04-16,0.0313,-300.5864
2012-05-07,Lex,3.1329,4923,3.172,PnL,2012-05-07,3.2054,3.1289,1,0,0,2012-05-07,2012-05-07,0.0239,192.637
2012-05-10,Lex,3.1443,4966,3.0959,-0.015_Stop,2012-05-10,3.1537,3.0772,1,0,0,2012-05-10,2012-05-10,0.0243,-240.4041
2012-05-31,Lex,2.8007,5490,2.5739,-0.015_Stop,2012-06-01,2.8471,2.7115,2,0,0,2012-05-31,2012-05-31,0.0476,-1244.9124
2012-07-09,Lex,3.0517,4630,2.9662,-0.015_Stop,2012-07-10,3.0619,3.0033,2,0,0,2012-07-09,2012-07-09,0.0191,-395.7724
2012-08-01,Lex,3.2607,4212,3.1894,-0.015_Stop,2012-08-01,3.2627,3.1711,1,0,0,2012-08-01,2012-08-01,0.0281,-300.2735
2012-08-27,Lex,3.483,3857,3.3788,-0.015_Stop,2012-08-30,3.4973,3.4142,4,0,2,2012-08-27,2012-08-28,0.0238,-401.938
2012-09-26,Lex,3.6957,3526,3.6325,-0.015_Stop,2012-09-26,3.6957,3.6069,1,0,0,2012-09-26,2012-09-26,0.024,-222.7374
2012-10-10,Lex,3.6973,3465,3.6305,-0.015_Stop,2012-10-10,3.7046,3.6113,1,0,0,2012-10-10,2012-10-10,0.0252,-231.4966
2012-10-24,Lex,3.5152,3578,3.4488,-0.015_Stop,2012-10-24,3.527,3.4313,1,0,0,2012-10-24,2012-10-24,0.0271,-237.4361
2012-11-08,Lex,3.3429,3692,3.2171,-0.015_Stop,2012-11-08,3.3914,3.2171,1,0,0,2012-11-08,2012-11-08,0.0514,-464.4536
2012-12-05,Lex,3.4488,3444,3.4521,PnL,2012-12-05,3.5046,3.3739,1,0,0,2012-12-05,2012-12-05,0.0373,11.3652
2012-12-17,Lex,3.5279,3370,3.6203,PnL,2012-12-17,3.6285,3.5242,1,0,0,2012-12-17,2012-12-17,0.0287,311.4217
2012-12-27,Lex,3.5465,3440,3.4084,-0.015_Stop,2012-12-28,3.5677,3.4063,2,0,0,2012-12-27,2012-12-27,0.0452,-475.1672
2013-02-21,Lex,4.2435,2763,4.32,PnL,2013-02-22,4.2447,4.1571,2,0,0,2013-02-21,2013-02-21,0.0206,211.4524
2013-02-25,Lex,4.3811,2724,4.076,-0.015_Stop,2013-02-25,4.4019,4.0752,1,0,0,2013-02-25,2013-02-25,0.0742,-831.0107
