Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10312.3163
2009-07-07,10312.3163
2009-07-08,10127.7244
2009-07-09,10190.7075
2009-07-10,10092.9649
2009-07-13,10830.4413
2009-07-14,10830.4413
2009-07-15,10830.4413
2009-07-16,10830.4413
2009-07-17,10830.4413
2009-07-20,10830.4413
2009-07-21,10830.4413
2009-07-22,10830.4413
2009-07-23,10830.4413
2009-07-24,10830.4413
2009-07-27,10830.4413
2009-07-28,10830.4413
2009-07-29,10830.4413
2009-07-30,10830.4413
2009-07-31,10830.4413
2009-08-03,10830.4413
2009-08-04,10830.4413
2009-08-05,10830.4413
2009-08-06,10830.4413
2009-08-07,10830.4413
2009-08-10,10830.4413
2009-08-11,10830.4413
2009-08-12,11254.0073
2009-08-13,11254.0073
2009-08-14,11254.0073
2009-08-17,11254.0073
2009-08-18,11254.0073
2009-08-19,11254.0073
2009-08-20,11254.0073
2009-08-21,11254.0073
2009-08-24,11254.0073
2009-08-25,11254.0073
2009-08-26,11254.0073
2009-08-27,11254.0073
2009-08-28,11254.0073
2009-08-31,11254.0073
2009-09-01,11254.0073
2009-09-02,11273.8501
2009-09-03,11338.2538
2009-09-04,11338.2538
2009-09-08,11338.2538
2009-09-09,11338.2538
2009-09-10,11338.2538
2009-09-11,11338.2538
2009-09-14,11338.2538
2009-09-15,11338.2538
2009-09-16,11338.2538
2009-09-17,11338.2538
2009-09-18,11338.2538
2009-09-21,11338.2538
2009-09-22,11338.2538
2009-09-23,11338.2538
2009-09-24,11338.2538
2009-09-25,11338.2538
2009-09-28,11804.5893
2009-09-29,11804.5893
2009-09-30,11804.5893
2009-10-01,11804.5893
2009-10-02,11804.5893
2009-10-05,12185.4616
2009-10-06,12185.4616
2009-10-07,12185.4616
2009-10-08,12185.4616
2009-10-09,12185.4616
2009-10-12,12185.4616
2009-10-13,12185.4616
2009-10-14,12185.4616
2009-10-15,12185.4616
2009-10-16,12185.4616
2009-10-19,12185.4616
2009-10-20,12185.4616
2009-10-21,12185.4616
2009-10-22,12558.1512
2009-10-23,12558.1512
2009-10-26,12086.0071
2009-10-27,11938.861
2009-10-28,11269.3126
2009-10-29,11984.2814
2009-10-30,10961.3137
2009-11-02,11183.9141
2009-11-03,11293.837
2009-11-04,11353.7705
2009-11-05,11997.921
2009-11-06,12115.1004
2009-11-09,12115.1004
2009-11-10,12115.1004
2009-11-11,12115.1004
2009-11-12,12115.1004
2009-11-13,12115.1004
2009-11-16,12115.1004
2009-11-17,12115.1004
2009-11-18,12115.1004
2009-11-19,12115.1004
2009-11-20,12115.1004
2009-11-23,12157.0967
2009-11-24,12157.0967
2009-11-25,12157.0967
2009-11-27,12157.0967
2009-11-30,12329.316
2009-12-01,12329.316
2009-12-02,12329.316
2009-12-03,12329.316
2009-12-04,12329.316
2009-12-07,12329.316
2009-12-08,12329.316
2009-12-09,12464.9635
2009-12-10,12439.881
2009-12-11,12623.5453
2009-12-14,12623.5453
2009-12-15,12623.5453
2009-12-16,12506.6675
2009-12-17,12070.2533
2009-12-18,12260.7461
2009-12-21,12618.2693
2009-12-22,12768.4787
2009-12-23,12768.4787
2009-12-24,12768.4787
2009-12-28,12768.4787
2009-12-29,12768.4787
2009-12-30,12768.4787
2009-12-31,12768.4787
2010-01-04,13070.7488
2010-01-05,13070.7488
2010-01-06,13070.7488
2010-01-07,13070.7488
2010-01-08,13070.7488
2010-01-11,13070.7488
2010-01-12,13070.7488
2010-01-13,13305.3251
2010-01-14,13305.3251
2010-01-15,13305.3251
2010-01-19,13830.0766
2010-01-20,13830.0766
2010-01-21,13830.0766
2010-01-22,13830.0766
2010-01-25,13647.8787
2010-01-26,13476.1869
2010-01-27,13677.4929
2010-01-28,13198.589
2010-01-29,12766.4332
2010-02-01,13363.5824
2010-02-02,13858.7036
2010-02-03,13858.7036
2010-02-04,13858.7036
2010-02-05,13858.7036
2010-02-08,13548.0886
2010-02-09,14037.4169
2010-02-10,14037.4169
2010-02-11,14037.4169
2010-02-12,14037.4169
2010-02-16,14037.4169
2010-02-17,14037.4169
2010-02-18,14037.4169
2010-02-19,14037.4169
2010-02-22,14037.4169
2010-02-23,14037.4169
2010-02-24,14305.6252
2010-02-25,14903.0528
2010-02-26,14903.0528
2010-03-01,15182.9913
2010-03-02,15182.9913
2010-03-03,15182.9913
2010-03-04,15182.9913
2010-03-05,15182.9913
2010-03-08,15182.9913
2010-03-09,15182.9913
2010-03-10,15182.9913
2010-03-11,15182.9913
2010-03-12,15182.9913
2010-03-15,15182.9913
2010-03-16,15182.9913
2010-03-17,15182.9913
2010-03-18,15182.9913
2010-03-19,15182.9913
2010-03-22,15182.9913
2010-03-23,15182.9913
2010-03-24,15182.9913
2010-03-25,15182.9913
2010-03-26,15182.9913
2010-03-29,15182.9913
2010-03-30,15182.9913
2010-03-31,15182.9913
2010-04-01,15182.9913
2010-04-05,15182.9913
2010-04-06,15182.9913
2010-04-07,15182.9913
2010-04-08,15182.9913
2010-04-09,15182.9913
2010-04-12,15182.9913
2010-04-13,15182.9913
2010-04-14,15182.9913
2010-04-15,15182.9913
2010-04-16,15182.9913
2010-04-19,15476.3501
2010-04-20,15476.3501
2010-04-21,15476.3501
2010-04-22,15476.3501
2010-04-23,15476.3501
2010-04-26,15476.3501
2010-04-27,15476.3501
2010-04-28,15570.9695
2010-04-29,15848.4894
2010-04-30,15848.4894
2010-05-03,16236.9217
2010-05-04,16236.9217
2010-05-05,16382.8377
2010-05-06,14944.5356
2010-05-07,14286.0721
2010-05-10,16138.2962
2010-05-11,15998.6504
2010-05-12,16677.5341
2010-05-13,16677.5341
2010-05-14,16677.5341
2010-05-17,16558.1482
2010-05-18,15898.0925
2010-05-19,15615.0776
2010-05-20,13824.9134
2010-05-21,14327.6607
2010-05-24,13884.0601
2010-05-25,13930.488
2010-05-26,13642.1671
2010-05-27,15040.5428
2010-05-28,14445.8761
2010-06-01,14445.8761
2010-06-02,15312.9704
2010-06-03,15312.9704
2010-06-04,15312.9704
2010-06-07,14589.2446
2010-06-08,15012.2345
2010-06-09,14785.204
2010-06-10,16117.2866
2010-06-11,16117.2866
2010-06-14,16117.2866
2010-06-15,16117.2866
2010-06-16,16117.2866
2010-06-17,16117.2866
2010-06-18,16117.2866
2010-06-21,16117.2866
2010-06-22,16117.2866
2010-06-23,15930.1898
2010-06-24,15145.4347
2010-06-25,15435.0857
2010-06-28,15166.4627
2010-06-29,13786.0314
2010-06-30,13309.5422
2010-07-01,13224.3102
2010-07-02,12994.2958
2010-07-06,13236.0307
2010-07-07,14485.6407
2010-07-08,14485.6407
2010-07-09,14485.6407
2010-07-12,14485.6407
2010-07-13,14485.6407
2010-07-14,14485.6407
2010-07-15,14485.6407
2010-07-16,14485.6407
2010-07-19,14589.1593
2010-07-20,14589.1593
2010-07-21,14589.1593
2010-07-22,14589.1593
2010-07-23,14589.1593
2010-07-26,14589.1593
2010-07-27,14589.1593
2010-07-28,14589.1593
2010-07-29,14589.1593
2010-07-30,14589.1593
2010-08-02,14868.4576
2010-08-03,14868.4576
2010-08-04,14868.4576
2010-08-05,14868.4576
2010-08-06,14868.4576
2010-08-09,14868.4576
2010-08-10,14868.4576
2010-08-11,14868.4576
2010-08-12,15308.4042
2010-08-13,15308.4042
2010-08-16,15592.771
2010-08-17,15592.771
2010-08-18,15592.771
2010-08-19,15592.771
2010-08-20,15592.771
2010-08-23,15592.771
2010-08-24,15592.771
2010-08-25,16012.3046
2010-08-26,15487.0634
2010-08-27,16216.4422
2010-08-30,15636.14
2010-08-31,15680.7786
2010-09-01,17036.205
2010-09-02,17036.205
2010-09-03,17036.205
2010-09-07,17036.205
2010-09-08,17036.205
2010-09-09,17036.205
2010-09-10,17036.205
2010-09-13,17036.205
2010-09-14,17036.205
2010-09-15,17036.205
2010-09-16,17036.205
2010-09-17,17036.205
2010-09-20,17036.205
2010-09-21,17036.205
2010-09-22,17036.205
2010-09-23,17036.205
2010-09-24,17036.205
2010-09-27,17036.205
2010-09-28,17036.205
2010-09-29,17036.205
2010-09-30,17036.205
2010-10-01,17036.205
2010-10-04,17036.205
2010-10-05,17036.205
2010-10-06,17036.205
2010-10-07,17036.205
2010-10-08,17036.205
2010-10-11,17036.205
2010-10-12,17036.205
2010-10-13,17036.205
2010-10-14,17036.205
2010-10-15,17036.205
2010-10-18,17036.205
2010-10-19,17036.205
2010-10-20,17421.8377
2010-10-21,17421.8377
2010-10-22,17421.8377
2010-10-25,17421.8377
2010-10-26,17421.8377
2010-10-27,17421.8377
2010-10-28,17177.5256
2010-10-29,17188.6172
2010-11-01,17203.7285
2010-11-02,17594.4641
2010-11-03,17594.4641
2010-11-04,17594.4641
2010-11-05,17594.4641
2010-11-08,17594.4641
2010-11-09,17594.4641
2010-11-10,17807.4437
2010-11-11,17807.4437
2010-11-12,17807.4437
2010-11-15,17559.8478
2010-11-16,16734.2594
2010-11-17,16760.1485
2010-11-18,17494.2085
2010-11-19,17627.5406
2010-11-22,17600.6249
2010-11-23,16811.8532
2010-11-24,17542.9796
2010-11-26,17084.3846
2010-11-29,17118.1943
2010-11-30,17118.1943
2010-12-01,17118.1943
2010-12-02,17118.1943
2010-12-03,17118.1943
2010-12-06,17118.1943
2010-12-07,17118.1943
2010-12-08,17118.1943
2010-12-09,17118.1943
2010-12-10,17118.1943
2010-12-13,17118.1943
2010-12-14,17118.1943
