Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10312.3163
2009-07-07,10312.3163
2009-07-08,10127.7244
2009-07-09,10190.7075
2009-07-10,10092.9649
2009-07-13,10584.6158
2009-07-14,10584.6158
2009-07-15,10584.6158
2009-07-16,10584.6158
2009-07-17,10584.6158
2009-07-20,10584.6158
2009-07-21,10584.6158
2009-07-22,10584.6158
2009-07-23,10584.6158
2009-07-24,10584.6158
2009-07-27,10584.6158
2009-07-28,10584.6158
2009-07-29,10584.6158
2009-07-30,10584.6158
2009-07-31,10584.6158
2009-08-03,10584.6158
2009-08-04,10584.6158
2009-08-05,10584.6158
2009-08-06,10584.6158
2009-08-07,10584.6158
2009-08-10,10584.6158
2009-08-11,10584.6158
2009-08-12,10998.5722
2009-08-13,10998.5722
2009-08-14,10998.5722
2009-08-17,10998.5722
2009-08-18,10998.5722
2009-08-19,10998.5722
2009-08-20,10998.5722
2009-08-21,10998.5722
2009-08-24,10998.5722
2009-08-25,10998.5722
2009-08-26,10998.5722
2009-08-27,10998.5722
2009-08-28,10998.5722
2009-08-31,10998.5722
2009-09-01,10998.5722
2009-09-02,11017.9661
2009-09-03,11080.906
2009-09-04,11080.906
2009-09-08,11080.906
2009-09-09,11080.906
2009-09-10,11080.906
2009-09-11,11080.906
2009-09-14,11080.906
2009-09-15,11080.906
2009-09-16,11080.906
2009-09-17,11080.906
2009-09-18,11080.906
2009-09-21,11080.906
2009-09-22,11080.906
2009-09-23,11080.906
2009-09-24,11080.906
2009-09-25,11080.906
2009-09-28,11536.659
2009-09-29,11536.659
2009-09-30,11536.659
2009-10-01,11536.659
2009-10-02,11536.659
2009-10-05,11908.8728
2009-10-06,11908.8728
2009-10-07,11908.8728
2009-10-08,11908.8728
2009-10-09,11908.8728
2009-10-12,11908.8728
2009-10-13,11908.8728
2009-10-14,11908.8728
2009-10-15,11908.8728
2009-10-16,11908.8728
2009-10-19,11908.8728
2009-10-20,11908.8728
2009-10-21,11908.8728
2009-10-22,12273.0909
2009-10-23,12273.0909
2009-10-26,11811.6981
2009-10-27,11667.9027
2009-10-28,11013.6008
2009-10-29,11479.4638
2009-10-30,10812.9133
2009-11-02,10957.9564
2009-11-03,11005.7113
2009-11-04,11031.7487
2009-11-05,11311.5933
2009-11-06,11362.5006
2009-11-09,11362.5006
2009-11-10,11362.5006
2009-11-11,11362.5006
2009-11-12,11362.5006
2009-11-13,11362.5006
2009-11-16,11362.5006
2009-11-17,11362.5006
2009-11-18,11362.5006
2009-11-19,11362.5006
2009-11-20,11362.5006
2009-11-23,11401.8863
2009-11-24,11401.8863
2009-11-25,11401.8863
2009-11-27,11401.8863
2009-11-30,11563.413
2009-12-01,11563.413
2009-12-02,11563.413
2009-12-03,11563.413
2009-12-04,11563.413
2009-12-07,11563.413
2009-12-08,11563.413
2009-12-09,11690.6365
2009-12-10,11667.1142
2009-12-11,11839.354
2009-12-14,11839.354
2009-12-15,11839.354
2009-12-16,11729.7257
2009-12-17,11320.3809
2009-12-18,11499.0581
2009-12-21,11722.6613
2009-12-22,11816.6057
2009-12-23,11816.6057
2009-12-24,11816.6057
2009-12-28,11816.6057
2009-12-29,11816.6057
2009-12-30,11816.6057
2009-12-31,11816.6057
2010-01-04,12096.3442
2010-01-05,12096.3442
2010-01-06,12096.3442
2010-01-07,12096.3442
2010-01-08,12096.3442
2010-01-11,12096.3442
2010-01-12,12096.3442
2010-01-13,12313.4171
2010-01-14,12313.4171
2010-01-15,12313.4171
2010-01-19,12799.0778
2010-01-20,12799.0778
2010-01-21,12799.0778
2010-01-22,12799.0778
2010-01-25,12630.4718
2010-01-26,12471.588
2010-01-27,12657.8768
2010-01-28,12362.4248
2010-01-29,12095.8133
2010-02-01,12464.2148
2010-02-02,12667.8528
2010-02-03,12667.8528
2010-02-04,12667.8528
2010-02-05,12667.8528
2010-02-08,12383.9424
2010-02-09,12831.2014
2010-02-10,12831.2014
2010-02-11,12831.2014
2010-02-12,12831.2014
2010-02-16,12831.2014
2010-02-17,12831.2014
2010-02-18,12831.2014
2010-02-19,12831.2014
2010-02-22,12831.2014
2010-02-23,12831.2014
2010-02-24,13076.3771
2010-02-25,13622.5132
2010-02-26,13622.5132
2010-03-01,13878.4024
2010-03-02,13878.4024
2010-03-03,13878.4024
2010-03-04,13878.4024
2010-03-05,13878.4024
2010-03-08,13878.4024
2010-03-09,13878.4024
2010-03-10,13878.4024
2010-03-11,13878.4024
2010-03-12,13878.4024
2010-03-15,13878.4024
2010-03-16,13878.4024
2010-03-17,13878.4024
2010-03-18,13878.4024
2010-03-19,13878.4024
2010-03-22,13878.4024
2010-03-23,13878.4024
2010-03-24,13878.4024
2010-03-25,13878.4024
2010-03-26,13878.4024
2010-03-29,13878.4024
2010-03-30,13878.4024
2010-03-31,13878.4024
2010-04-01,13878.4024
2010-04-05,13878.4024
2010-04-06,13878.4024
2010-04-07,13878.4024
2010-04-08,13878.4024
2010-04-09,13878.4024
2010-04-12,13878.4024
2010-04-13,13878.4024
2010-04-14,13878.4024
2010-04-15,13878.4024
2010-04-16,13878.4024
2010-04-19,14146.5332
2010-04-20,14146.5332
2010-04-21,14146.5332
2010-04-22,14146.5332
2010-04-23,14146.5332
2010-04-26,14146.5332
2010-04-27,14146.5332
2010-04-28,14233.0256
2010-04-29,14486.7246
2010-04-30,14486.7246
2010-05-03,14841.8106
2010-05-04,14841.8106
2010-05-05,14975.1836
2010-05-06,13660.3366
2010-05-07,13058.3916
2010-05-10,14751.6321
2010-05-11,14666.5193
2010-05-12,15080.2925
2010-05-13,15080.2925
2010-05-14,15080.2925
2010-05-17,14972.351
2010-05-18,14375.5686
2010-05-19,14119.6837
2010-05-20,13040.492
2010-05-21,13343.5708
2010-05-24,13076.1484
2010-05-25,13094.8076
2010-05-26,12978.9324
2010-05-27,13540.9349
2010-05-28,13301.9404
2010-06-01,13301.9404
2010-06-02,14100.3932
2010-06-03,14100.3932
2010-06-04,14100.3932
2010-06-07,13433.9785
2010-06-08,13823.4723
2010-06-09,13614.4201
2010-06-10,14432.2014
2010-06-11,14432.2014
2010-06-14,14432.2014
2010-06-15,14432.2014
2010-06-16,14432.2014
2010-06-17,14432.2014
2010-06-18,14432.2014
2010-06-21,14432.2014
2010-06-22,14432.2014
2010-06-23,14264.6653
2010-06-24,13561.9553
2010-06-25,13821.3237
2010-06-28,13660.954
2010-06-29,12836.8279
2010-06-30,12552.3609
2010-07-01,12518.4382
2010-07-02,12426.8915
2010-07-06,12523.103
2010-07-07,13020.453
2010-07-08,13020.453
2010-07-09,13020.453
2010-07-12,13020.453
2010-07-13,13020.453
2010-07-14,13020.453
2010-07-15,13020.453
2010-07-16,13020.453
2010-07-19,13113.5006
2010-07-20,13113.5006
2010-07-21,13113.5006
2010-07-22,13113.5006
2010-07-23,13113.5006
2010-07-26,13113.5006
2010-07-27,13113.5006
2010-07-28,13113.5006
2010-07-29,13113.5006
2010-07-30,13113.5006
2010-08-02,13364.5387
2010-08-03,13364.5387
2010-08-04,13364.5387
2010-08-05,13364.5387
2010-08-06,13364.5387
2010-08-09,13364.5387
2010-08-10,13364.5387
2010-08-11,13364.5387
2010-08-12,13759.9578
2010-08-13,13759.9578
2010-08-16,14015.5503
2010-08-17,14015.5503
2010-08-18,14015.5503
2010-08-19,14015.5503
2010-08-20,14015.5503
2010-08-23,14015.5503
2010-08-24,14015.5503
2010-08-25,14392.6698
2010-08-26,13920.5484
2010-08-27,14576.1621
2010-08-30,14054.5914
2010-08-31,14094.7122
2010-09-01,15312.9581
2010-09-02,15312.9581
2010-09-03,15312.9581
2010-09-07,15312.9581
2010-09-08,15312.9581
2010-09-09,15312.9581
2010-09-10,15312.9581
2010-09-13,15312.9581
2010-09-14,15312.9581
2010-09-15,15312.9581
2010-09-16,15312.9581
2010-09-17,15312.9581
2010-09-20,15312.9581
2010-09-21,15312.9581
2010-09-22,15312.9581
2010-09-23,15312.9581
2010-09-24,15312.9581
2010-09-27,15312.9581
2010-09-28,15312.9581
2010-09-29,15312.9581
2010-09-30,15312.9581
2010-10-01,15312.9581
2010-10-04,15312.9581
2010-10-05,15312.9581
2010-10-06,15312.9581
2010-10-07,15312.9581
2010-10-08,15312.9581
2010-10-11,15312.9581
2010-10-12,15312.9581
2010-10-13,15312.9581
2010-10-14,15312.9581
2010-10-15,15312.9581
2010-10-18,15312.9581
2010-10-19,15312.9581
2010-10-20,15659.5541
2010-10-21,15659.5541
2010-10-22,15659.5541
2010-10-25,15659.5541
2010-10-26,15659.5541
2010-10-27,15659.5541
2010-10-28,15439.9555
2010-10-29,15449.9251
2010-11-01,15463.5078
2010-11-02,15697.6657
2010-11-03,15697.6657
2010-11-04,15697.6657
2010-11-05,15697.6657
2010-11-08,15697.6657
2010-11-09,15697.6657
2010-11-10,15887.7011
2010-11-11,15887.7011
2010-11-12,15887.7011
2010-11-15,15666.8095
2010-11-16,14930.2639
2010-11-17,14953.3607
2010-11-18,15389.9533
2010-11-19,15469.2545
2010-11-22,15453.2459
2010-11-23,15140.4905
2010-11-24,15430.3891
2010-11-26,15248.5518
2010-11-29,15261.9577
2010-11-30,15261.9577
2010-12-01,15261.9577
2010-12-02,15261.9577
2010-12-03,15261.9577
2010-12-06,15261.9577
2010-12-07,15261.9577
2010-12-08,15261.9577
2010-12-09,15261.9577
2010-12-10,15261.9577
2010-12-13,15261.9577
