Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,9467,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,312.3163
2009-07-08,Lex,1.0413,3301,1.0192,D3,2009-07-10,1.0525,0.9866,3,2,0,2009-07-09,2009-07-08,0.0626,-73.1171
2009-07-08,Lex,1.0413,6602,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,345.4166
2009-08-12,Lex,1.4624,7237,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,413.9564
2009-09-02,Lex,1.4631,7517,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,19.3939
2009-09-03,Lex,1.4896,7396,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,62.94
2009-09-28,Lex,1.7152,6460,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,455.753
2009-10-05,Lex,1.6165,7136,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,372.2138
2009-10-22,Lex,1.8713,6363,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,364.2181
2009-10-26,Lex,1.869,2188,1.6772,D3,2009-10-28,1.9264,1.7655,3,0,2,2009-10-26,2009-10-27,0.0835,-419.7022
2009-10-26,Lex,1.869,1459,1.6645,D6,2009-11-02,1.9264,1.623,6,0,5,2009-10-26,2009-10-30,0.1575,-298.4093
2009-10-26,Lex,1.869,2919,1.8031,Exp,2009-11-06,1.9264,1.6059,10,0,6,2009-10-26,2009-11-02,0.1664,-192.4789
2009-11-23,Lex,1.9817,5733,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,39.3857
2009-11-30,Lex,1.9108,5967,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,161.5267
2009-12-09,Lex,1.9141,6041,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,127.2235
2009-12-10,Lex,1.9728,5925,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,148.7175
2009-12-16,Lex,2.0335,1940,1.975,D3,2009-12-18,2.05,1.9381,3,0,2,2009-12-16,2009-12-17,0.0546,-113.393
2009-12-16,Lex,2.0335,3882,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,90.6447
2010-01-04,Lex,2.0916,5649,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,279.7385
2010-01-13,Lex,2.177,5556,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,217.0729
2010-01-19,Lex,2.1545,5715,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,485.6607
2010-01-25,Lex,1.9613,2175,1.9397,D3,2010-01-27,1.9732,1.8984,3,2,2,2010-01-26,2010-01-26,0.0379,-47.067
2010-01-25,Lex,1.9613,1450,1.8951,D6,2010-02-01,1.9732,1.8018,6,2,5,2010-01-26,2010-01-29,0.0869,-95.932
2010-01-25,Lex,1.9613,2900,1.9654,PnL,2010-02-02,1.9732,1.8018,7,2,5,2010-01-26,2010-01-29,0.0869,11.774
2010-02-08,Lex,1.7703,7155,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,163.3486
