Date,Equity
2009-06-25,10000.0
2009-06-26,10000.0
2009-06-29,10000.0
2009-06-30,10000.0
2009-07-01,10000.0
2009-07-02,10000.0
2009-07-06,10312.3163
2009-07-07,10312.3163
2009-07-08,10127.7244
2009-07-09,10190.7075
2009-07-10,10092.9649
2009-07-13,10461.7403
2009-07-14,10461.7403
2009-07-15,10461.7403
2009-07-16,10461.7403
2009-07-17,10461.7403
2009-07-20,10461.7403
2009-07-21,10461.7403
2009-07-22,10461.7403
2009-07-23,10461.7403
2009-07-24,10461.7403
2009-07-27,10461.7403
2009-07-28,10461.7403
2009-07-29,10461.7403
2009-07-30,10461.7403
2009-07-31,10461.7403
2009-08-03,10461.7403
2009-08-04,10461.7403
2009-08-05,10461.7403
2009-08-06,10461.7403
2009-08-07,10461.7403
2009-08-10,10461.7403
2009-08-11,10461.7403
2009-08-12,10870.8919
2009-08-13,10870.8919
2009-08-14,10870.8919
2009-08-17,10870.8919
2009-08-18,10870.8919
2009-08-19,10870.8919
2009-08-20,10870.8919
2009-08-21,10870.8919
2009-08-24,10870.8919
2009-08-25,10870.8919
2009-08-26,10870.8919
2009-08-27,10870.8919
2009-08-28,10870.8919
2009-08-31,10870.8919
2009-09-01,10870.8919
2009-09-02,10890.0613
2009-09-03,10952.2694
2009-09-04,10952.2694
2009-09-08,10952.2694
2009-09-09,10952.2694
2009-09-10,10952.2694
2009-09-11,10952.2694
2009-09-14,10952.2694
2009-09-15,10952.2694
2009-09-16,10952.2694
2009-09-17,10952.2694
2009-09-18,10952.2694
2009-09-21,10952.2694
2009-09-22,10952.2694
2009-09-23,10952.2694
2009-09-24,10952.2694
2009-09-25,10952.2694
2009-09-28,11402.7312
2009-09-29,11402.7312
2009-09-30,11402.7312
2009-10-01,11402.7312
2009-10-02,11402.7312
2009-10-05,11770.6157
2009-10-06,11770.6157
2009-10-07,11770.6157
2009-10-08,11770.6157
2009-10-09,11770.6157
2009-10-12,11770.6157
2009-10-13,11770.6157
2009-10-14,11770.6157
2009-10-15,11770.6157
2009-10-16,11770.6157
2009-10-19,11770.6157
2009-10-20,11770.6157
2009-10-21,11770.6157
2009-10-22,12130.6553
2009-10-23,12130.6553
2009-10-26,11674.603
2009-10-27,11532.472
2009-10-28,10885.7434
2009-10-29,11231.0439
2009-10-30,10736.9926
2009-11-02,10844.4995
2009-11-03,10897.5877
2009-11-04,10926.5331
2009-11-05,11237.6312
2009-11-06,11294.224
2009-11-09,11294.224
2009-11-10,11294.224
2009-11-11,11294.224
2009-11-12,11294.224
2009-11-13,11294.224
2009-11-16,11294.224
2009-11-17,11294.224
2009-11-18,11294.224
2009-11-19,11294.224
2009-11-20,11294.224
2009-11-23,11333.3762
2009-11-24,11333.3762
2009-11-25,11333.3762
2009-11-27,11333.3762
2009-11-30,11493.9284
2009-12-01,11493.9284
2009-12-02,11493.9284
2009-12-03,11493.9284
2009-12-04,11493.9284
2009-12-07,11493.9284
2009-12-08,11493.9284
2009-12-09,11620.3726
2009-12-10,11596.9893
2009-12-11,11768.2116
2009-12-14,11768.2116
2009-12-15,11768.2116
2009-12-16,11659.2424
2009-12-17,11252.3584
2009-12-18,11429.9614
2009-12-21,11596.6558
2009-12-22,11666.6906
2009-12-23,11666.6906
2009-12-24,11666.6906
2009-12-28,11666.6906
2009-12-29,11666.6906
2009-12-30,11666.6906
2009-12-31,11666.6906
2010-01-04,11942.8637
2010-01-05,11942.8637
2010-01-06,11942.8637
2010-01-07,11942.8637
2010-01-08,11942.8637
2010-01-11,11942.8637
2010-01-12,11942.8637
2010-01-13,12157.1626
2010-01-14,12157.1626
2010-01-15,12157.1626
2010-01-19,12636.6198
2010-01-20,12636.6198
2010-01-21,12636.6198
2010-01-22,12636.6198
2010-01-25,12470.1585
2010-01-26,12313.2958
2010-01-27,12497.2149
2010-01-28,12278.4446
2010-01-29,12081.0295
2010-02-01,12353.816
2010-02-02,12579.9946
2010-02-03,12579.9946
2010-02-04,12579.9946
2010-02-05,12579.9946
2010-02-08,12298.0285
2010-02-09,12742.2246
2010-02-10,12742.2246
2010-02-11,12742.2246
2010-02-12,12742.2246
2010-02-16,12742.2246
2010-02-17,12742.2246
2010-02-18,12742.2246
2010-02-19,12742.2246
2010-02-22,12742.2246
2010-02-23,12742.2246
2010-02-24,12985.6968
2010-02-25,13528.0453
2010-02-26,13528.0453
2010-03-01,13782.1364
2010-03-02,13782.1364
2010-03-03,13782.1364
2010-03-04,13782.1364
2010-03-05,13782.1364
2010-03-08,13782.1364
2010-03-09,13782.1364
2010-03-10,13782.1364
2010-03-11,13782.1364
2010-03-12,13782.1364
2010-03-15,13782.1364
2010-03-16,13782.1364
2010-03-17,13782.1364
2010-03-18,13782.1364
2010-03-19,13782.1364
2010-03-22,13782.1364
2010-03-23,13782.1364
2010-03-24,13782.1364
2010-03-25,13782.1364
2010-03-26,13782.1364
2010-03-29,13782.1364
2010-03-30,13782.1364
2010-03-31,13782.1364
2010-04-01,13782.1364
2010-04-05,13782.1364
2010-04-06,13782.1364
2010-04-07,13782.1364
2010-04-08,13782.1364
2010-04-09,13782.1364
2010-04-12,13782.1364
2010-04-13,13782.1364
2010-04-14,13782.1364
2010-04-15,13782.1364
2010-04-16,13782.1364
2010-04-19,14048.4108
2010-04-20,14048.4108
2010-04-21,14048.4108
2010-04-22,14048.4108
2010-04-23,14048.4108
2010-04-26,14048.4108
2010-04-27,14048.4108
2010-04-28,14134.3012
2010-04-29,14386.244
2010-04-30,14386.244
2010-05-03,14738.8398
2010-05-04,14738.8398
2010-05-05,14871.2844
2010-05-06,13565.6714
2010-05-07,12967.9538
2010-05-10,14649.3028
2010-05-11,14585.9214
2010-05-12,14894.0484
2010-05-13,14894.0484
2010-05-14,14894.0484
2010-05-17,14787.438
2010-05-18,14198.0148
2010-05-19,13945.2855
2010-05-20,13145.9862
2010-05-21,13370.4603
2010-05-24,13172.3949
2010-05-25,13193.1247
2010-05-26,13064.3909
2010-05-27,13688.7586
2010-05-28,13423.2429
2010-06-01,13423.2429
2010-06-02,14229.0003
2010-06-03,14229.0003
2010-06-04,14229.0003
2010-06-07,13556.4364
2010-06-08,13949.5241
2010-06-09,13738.543
2010-06-10,14357.5758
2010-06-11,14357.5758
2010-06-14,14357.5758
2010-06-15,14357.5758
2010-06-16,14357.5758
2010-06-17,14357.5758
2010-06-18,14357.5758
2010-06-21,14357.5758
2010-06-22,14357.5758
2010-06-23,14190.9081
2010-06-24,13491.8405
2010-06-25,13749.8645
2010-06-28,13630.2028
2010-06-29,13015.2718
2010-06-30,12803.0135
2010-07-01,12765.0458
2010-07-02,12662.5829
2010-07-06,12770.2668
2010-07-07,13326.9218
2010-07-08,13326.9218
2010-07-09,13326.9218
2010-07-12,13326.9218
2010-07-13,13326.9218
2010-07-14,13326.9218
2010-07-15,13326.9218
2010-07-16,13326.9218
2010-07-19,13422.157
2010-07-20,13422.157
2010-07-21,13422.157
2010-07-22,13422.157
2010-07-23,13422.157
2010-07-26,13422.157
2010-07-27,13422.157
2010-07-28,13422.157
2010-07-29,13422.157
2010-07-30,13422.157
2010-08-02,13679.125
2010-08-03,13679.125
2010-08-04,13679.125
2010-08-05,13679.125
2010-08-06,13679.125
2010-08-09,13679.125
2010-08-10,13679.125
2010-08-11,13679.125
2010-08-12,14083.8697
2010-08-13,14083.8697
2010-08-16,14345.5064
2010-08-17,14345.5064
2010-08-18,14345.5064
2010-08-19,14345.5064
2010-08-20,14345.5064
2010-08-23,14345.5064
2010-08-24,14345.5064
2010-08-25,14731.4962
2010-08-26,14248.281
2010-08-27,14919.3003
2010-08-30,14385.4439
2010-08-31,14426.5098
2010-09-01,15673.4516
2010-09-02,15673.4516
2010-09-03,15673.4516
2010-09-07,15673.4516
2010-09-08,15673.4516
2010-09-09,15673.4516
2010-09-10,15673.4516
2010-09-13,15673.4516
2010-09-14,15673.4516
2010-09-15,15673.4516
2010-09-16,15673.4516
2010-09-17,15673.4516
2010-09-20,15673.4516
2010-09-21,15673.4516
2010-09-22,15673.4516
2010-09-23,15673.4516
2010-09-24,15673.4516
2010-09-27,15673.4516
2010-09-28,15673.4516
2010-09-29,15673.4516
2010-09-30,15673.4516
2010-10-01,15673.4516
2010-10-04,15673.4516
2010-10-05,15673.4516
2010-10-06,15673.4516
2010-10-07,15673.4516
2010-10-08,15673.4516
2010-10-11,15673.4516
2010-10-12,15673.4516
2010-10-13,15673.4516
2010-10-14,15673.4516
2010-10-15,15673.4516
2010-10-18,15673.4516
2010-10-19,15673.4516
2010-10-20,16028.2075
2010-10-21,16028.2075
2010-10-22,16028.2075
2010-10-25,16028.2075
2010-10-26,16028.2075
2010-10-27,16028.2075
2010-10-28,15803.4562
2010-10-29,15813.6597
2010-11-01,15827.5611
2010-11-02,16007.2869
2010-11-03,16007.2869
2010-11-04,16007.2869
2010-11-05,16007.2869
2010-11-08,16007.2869
2010-11-09,16007.2869
2010-11-10,16201.0609
2010-11-11,16201.0609
2010-11-12,16201.0609
2010-11-15,15975.8142
2010-11-16,15224.7472
2010-11-17,15248.2993
2010-11-18,15582.1996
2010-11-19,15642.848
2010-11-22,15630.6049
2010-11-23,15271.8181
2010-11-24,15604.384
2010-11-26,15395.7839
2010-11-29,15411.1628
2010-11-30,15411.1628
2010-12-01,15411.1628
2010-12-02,15411.1628
2010-12-03,15411.1628
2010-12-06,15411.1628
2010-12-07,15411.1628
2010-12-08,15411.1628
2010-12-09,15411.1628
2010-12-10,15411.1628
