Entry_Date,Entry_Label,Entry,Amount,Exit,Exit_Label,Exit_Date,High,Low,Duration,Max_Offset,Min_Offset,Max_Date,Min_Date,Drawdown,PnL
2009-07-06,Lex,1.0563,3313,1.0893,PnL,2009-07-06,1.0905,1.0454,1,0,0,2009-07-06,2009-07-06,0.0414,109.2959
2009-07-08,Lex,1.0413,1698,1.0192,50%,2009-07-10,1.0525,0.9866,3,2,0,2009-07-09,2009-07-08,0.0626,-37.6107
2009-07-08,Lex,1.0413,1699,1.0936,PnL,2009-07-13,1.0525,0.9866,4,2,0,2009-07-09,2009-07-08,0.0626,88.8917
2009-08-12,Lex,1.4624,2359,1.5196,PnL,2009-08-12,1.5519,1.4624,1,0,0,2009-08-12,2009-08-12,0.0577,134.9348
2009-09-02,Lex,1.4631,1780,1.4657,PnL,2009-09-02,1.4919,1.4535,1,0,0,2009-09-02,2009-09-02,0.0257,4.5924
2009-09-03,Lex,1.4896,1795,1.4981,PnL,2009-09-03,1.5061,1.4553,1,0,0,2009-09-03,2009-09-03,0.0337,15.2755
2009-09-28,Lex,1.7152,1775,1.7858,PnL,2009-09-28,1.7983,1.7152,1,0,0,2009-09-28,2009-09-28,0.0462,125.2262
2009-10-05,Lex,1.6165,1869,1.6687,PnL,2009-10-05,1.6822,1.6019,1,0,0,2009-10-05,2009-10-05,0.0477,97.487
2009-10-22,Lex,1.8713,1567,1.9285,PnL,2009-10-22,1.9471,1.8348,1,0,0,2009-10-22,2009-10-22,0.0577,89.6951
2009-10-26,Lex,1.869,779,1.6772,50%,2009-10-28,1.9264,1.7655,3,0,2,2009-10-26,2009-10-27,0.0835,-149.4278
2009-10-26,Lex,1.869,779,1.8031,Exp,2009-11-06,1.9264,1.6059,10,0,6,2009-10-26,2009-11-02,0.1664,-51.3673
2009-11-23,Lex,1.9817,1167,1.9886,PnL,2009-11-23,2.0285,1.9744,1,0,0,2009-11-23,2009-11-23,0.0267,8.0173
2009-11-30,Lex,1.9108,1634,1.9379,PnL,2009-11-30,1.9464,1.8876,1,0,0,2009-11-30,2009-11-30,0.0302,44.2324
2009-12-09,Lex,1.9141,1890,1.9352,PnL,2009-12-09,1.9453,1.8851,1,0,0,2009-12-09,2009-12-09,0.0309,39.8034
2009-12-10,Lex,1.9728,1908,1.9979,PnL,2009-12-11,1.9944,1.9602,2,0,0,2009-12-10,2009-12-10,0.0171,47.8908
2009-12-16,Lex,2.0335,988,1.975,50%,2009-12-18,2.05,1.9381,3,0,2,2009-12-16,2009-12-17,0.0546,-57.7486
2009-12-16,Lex,2.0335,989,2.0568,PnL,2009-12-22,2.0556,1.9268,5,4,3,2009-12-21,2009-12-18,0.0627,23.0931
2010-01-04,Lex,2.0916,2101,2.1411,PnL,2010-01-04,2.146,2.0905,1,0,0,2010-01-04,2010-01-04,0.0259,104.0415
2010-01-13,Lex,2.177,2134,2.2161,PnL,2010-01-13,2.2331,2.1441,1,0,0,2010-01-13,2010-01-13,0.0399,83.3754
2010-01-19,Lex,2.1545,2070,2.2395,PnL,2010-01-19,2.2529,2.1541,1,0,0,2010-01-19,2010-01-19,0.0439,175.9086
2010-01-25,Lex,1.9613,819,1.9397,50%,2010-01-27,1.9732,1.8984,3,2,2,2010-01-26,2010-01-26,0.0379,-17.7232
2010-01-25,Lex,1.9613,819,1.9654,PnL,2010-02-02,1.9732,1.8018,7,2,5,2010-01-26,2010-01-29,0.0869,3.3251
2010-02-08,Lex,1.7703,1451,1.7931,PnL,2010-02-09,1.7995,1.7237,2,0,0,2010-02-08,2010-02-08,0.0421,33.1263
2010-02-24,Lex,1.9378,1415,1.9748,PnL,2010-02-24,1.983,1.9245,1,0,0,2010-02-24,2010-02-24,0.0295,52.3975
2010-02-25,Lex,1.8893,1506,1.9682,PnL,2010-02-25,1.97,1.8736,1,0,0,2010-02-25,2010-02-25,0.0489,118.8385
2010-03-01,Lex,1.9942,1537,2.0317,PnL,2010-03-01,2.0381,1.9936,1,0,0,2010-03-01,2010-03-01,0.0218,57.576
2010-04-19,Lex,2.4634,2179,2.511,PnL,2010-04-19,2.5199,2.4296,1,0,0,2010-04-19,2010-04-19,0.0358,103.7204
2010-04-28,Lex,2.4613,1567,2.4764,PnL,2010-04-28,2.4994,2.414,1,0,0,2010-04-28,2010-04-28,0.0342,23.5834
2010-04-29,Lex,2.5262,1476,2.5712,PnL,2010-04-29,2.588,2.5232,1,0,0,2010-04-29,2010-04-29,0.025,66.4643
2010-05-03,Lex,2.478,1327,2.5387,PnL,2010-05-03,2.5567,2.4657,1,0,0,2010-05-03,2010-05-03,0.0356,80.602
2010-05-05,Lex,2.2956,1262,2.3162,PnL,2010-05-05,2.3737,2.2659,1,0,0,2010-05-05,2010-05-05,0.0454,26.0351
2010-05-06,Lex,2.2862,541,2.2521,50%,2010-05-10,2.3242,1.4543,3,0,0,2010-05-06,2010-05-06,0.3743,-18.4643
2010-05-06,Lex,2.2862,541,2.3273,PnL,2010-05-12,2.3242,1.4543,5,0,0,2010-05-06,2010-05-06,0.3743,22.2513
2010-05-17,Lex,2.1373,445,2.0011,50%,2010-05-19,2.1931,2.0009,3,2,0,2010-05-18,2010-05-17,0.0876,-60.5912
2010-05-17,Lex,2.1373,445,1.8513,Exp,2010-05-28,2.1931,1.6143,10,2,7,2010-05-18,2010-05-25,0.2639,-127.27
2010-06-02,Lex,1.7895,943,1.8969,PnL,2010-06-02,1.8991,1.7658,1,0,0,2010-06-02,2010-06-02,0.0702,101.2971
2010-06-07,Lex,1.7346,537,1.6748,50%,2010-06-09,1.7535,1.6126,3,0,2,2010-06-07,2010-06-08,0.0804,-32.1072
2010-06-07,Lex,1.7346,538,1.8257,PnL,2010-06-10,1.7839,1.6126,4,3,2,2010-06-09,2010-06-08,0.096,49.0226
2010-06-23,Lex,1.8701,518,1.7909,50%,2010-06-25,1.8896,1.7431,3,0,2,2010-06-23,2010-06-24,0.0775,-41.0049
2010-06-23,Lex,1.8701,519,1.6808,Exp,2010-07-07,1.8896,1.458,10,0,7,2010-06-23,2010-07-01,0.2284,-98.2623
2010-07-19,Lex,1.7197,1314,1.732,PnL,2010-07-19,1.7458,1.6786,1,0,0,2010-07-19,2010-07-19,0.0385,16.1491
2010-08-02,Lex,1.9602,1261,1.9977,PnL,2010-08-02,2.0075,1.9366,1,0,0,2010-08-02,2010-08-02,0.0353,47.3253
2010-08-12,Lex,1.7317,1641,1.7829,PnL,2010-08-12,1.8,1.7298,1,0,0,2010-08-12,2010-08-12,0.039,84.0848
2010-08-16,Lex,1.7306,1695,1.7628,PnL,2010-08-16,1.779,1.7102,1,0,0,2010-08-16,2010-08-16,0.0387,54.4943
2010-08-25,Lex,1.6003,1977,1.6434,PnL,2010-08-25,1.6641,1.57,1,0,0,2010-08-25,2010-08-25,0.0565,85.1296
2010-08-26,Lex,1.6659,1907,1.6871,PnL,2010-08-27,1.6759,1.5966,2,0,0,2010-08-26,2010-08-26,0.0473,40.5047
2010-08-30,Lex,1.6747,1990,1.7594,PnL,2010-09-01,1.6893,1.5768,3,0,2,2010-08-30,2010-08-31,0.0666,168.4734
2010-10-20,Lex,2.2251,2038,2.2755,PnL,2010-10-20,2.3069,2.2192,1,0,0,2010-10-20,2010-10-20,0.038,102.6541
2010-10-28,Lex,2.3403,1228,2.311,50%,2010-11-01,2.3461,2.2713,3,0,0,2010-10-28,2010-10-28,0.0319,-35.9804
2010-10-28,Lex,2.3403,1229,2.3635,PnL,2010-11-02,2.3827,2.2713,4,3,0,2010-11-01,2010-10-28,0.0468,28.5005
2010-11-10,Lex,2.4904,2344,2.5206,PnL,2010-11-10,2.5248,2.4342,1,0,0,2010-11-10,2010-11-10,0.0359,70.6716
2010-11-15,Lex,2.4279,1096,2.2851,50%,2010-11-17,2.4548,2.2487,3,0,2,2010-11-15,2010-11-16,0.084,-156.5088
2010-11-15,Lex,2.4279,1096,2.3339,Exp,2010-11-29,2.4548,2.2487,10,0,2,2010-11-15,2010-11-16,0.084,-103.0021
2010-12-16,Lex,2.6447,1561,2.6746,PnL,2010-12-16,2.6806,2.6063,1,0,0,2010-12-16,2010-12-16,0.0277,46.7207
2011-01-24,Lex,2.9421,2383,2.9978,PnL,2011-01-24,3.008,2.94,1,0,0,2011-01-24,2011-01-24,0.0226,132.8046
2011-01-31,Lex,2.9236,1895,2.9616,PnL,2011-01-31,2.9699,2.9009,1,0,0,2011-01-31,2011-01-31,0.0232,72.0479
2011-02-24,Lex,3.1066,1369,3.115,PnL,2011-02-24,3.1462,3.0224,1,0,0,2011-02-24,2011-02-24,0.0393,11.527
2011-03-02,Lex,3.0924,1505,3.1217,PnL,2011-03-02,3.168,3.0818,1,0,0,2011-03-02,2011-03-02,0.0272,44.0363
2011-03-03,Lex,3.2116,1292,3.2828,PnL,2011-03-03,3.2966,3.2083,1,0,0,2011-03-03,2011-03-03,0.0268,91.9775
2011-03-16,Lex,2.9032,1129,2.9072,PnL,2011-03-18,2.9288,2.7046,3,0,0,2011-03-16,2011-03-16,0.0766,4.5499
2011-03-21,Lex,3.0171,1048,3.0387,PnL,2011-03-21,3.0578,3.0041,1,0,0,2011-03-21,2011-03-21,0.0176,22.5949
2011-04-13,Lex,3.201,1051,3.1896,50%,2011-04-15,3.2079,3.0696,3,0,2,2011-04-13,2011-04-14,0.0431,-11.9709
2011-04-13,Lex,3.201,1052,3.2722,PnL,2011-04-20,3.2193,3.013,6,3,4,2011-04-15,2011-04-18,0.0641,74.9129
2011-05-04,Lex,3.4622,869,3.3438,50%,2011-05-06,3.4639,3.258,3,0,2,2011-05-04,2011-05-05,0.0594,-102.8635
2011-05-04,Lex,3.4622,870,3.4757,PnL,2011-05-10,3.4639,3.258,5,0,2,2011-05-04,2011-05-05,0.0594,11.7102
2011-05-16,Lex,3.2889,1564,3.3564,PnL,2011-05-18,3.3731,3.188,3,0,2,2011-05-16,2011-05-17,0.0549,105.6326
2011-06-02,Lex,3.1656,673,2.9565,50%,2011-06-06,3.1851,3.0309,3,0,2,2011-06-02,2011-06-03,0.0484,-140.7445
2011-06-02,Lex,3.1656,673,2.812,Exp,2011-06-15,3.1851,2.8197,10,0,8,2011-06-02,2011-06-13,0.1147,-237.9593
2011-06-16,Lex,2.8165,1299,2.8267,PnL,2011-06-16,2.8747,2.766,1,0,0,2011-06-16,2011-06-16,0.0378,13.2108
2011-07-13,Lex,3.1904,601,3.1571,50%,2011-07-15,3.2718,3.0899,3,0,2,2011-07-13,2011-07-14,0.0556,-20.0373
2011-07-13,Lex,3.1904,602,3.2315,PnL,2011-07-19,3.2718,3.0142,5,0,4,2011-07-13,2011-07-18,0.0787,24.7542
2011-07-28,Lex,3.0732,565,2.9434,50%,2011-08-01,3.1538,2.9154,3,0,2,2011-07-28,2011-07-29,0.0756,-73.3088
2011-07-28,Lex,3.0732,566,1.8762,Exp,2011-08-10,3.1538,1.7985,10,0,9,2011-07-28,2011-08-09,0.4297,-677.519
2011-08-11,Lex,1.9254,859,2.1264,PnL,2011-08-11,2.2078,1.9083,1,0,0,2011-08-11,2011-08-11,0.1357,172.6676
2011-08-22,Lex,1.9901,844,2.0503,PnL,2011-08-23,1.9925,1.8526,2,0,0,2011-08-22,2011-08-22,0.0702,50.8257
2011-09-06,Lex,1.9282,875,2.067,PnL,2011-09-06,2.0759,1.9282,1,0,0,2011-09-06,2011-09-06,0.0711,121.45
2011-09-22,Lex,1.8818,969,1.8867,PnL,2011-09-23,1.9311,1.778,2,0,0,2011-09-22,2011-09-22,0.0793,4.7384
2011-09-26,Lex,1.9449,978,2.0227,PnL,2011-09-26,2.0341,1.8643,1,0,0,2011-09-26,2011-09-26,0.0835,76.0591
2011-10-26,Lex,2.4302,770,2.6741,PnL,2011-10-27,2.4522,2.3073,2,0,0,2011-10-26,2011-10-26,0.0591,187.7953
2011-11-02,Lex,2.3789,782,2.3875,PnL,2011-11-02,2.4103,2.3207,1,0,0,2011-11-02,2011-11-02,0.0372,6.7017
2011-11-03,Lex,2.4717,748,2.5157,PnL,2011-11-03,2.5312,2.3651,1,0,0,2011-11-03,2011-11-03,0.0656,32.927
2011-11-07,Lex,2.4693,807,2.5157,PnL,2011-11-07,2.5239,2.396,1,0,0,2011-11-07,2011-11-07,0.0507,37.4609
2011-11-10,Lex,2.418,739,2.5271,PnL,2011-11-11,2.4245,2.3174,2,0,0,2011-11-10,2011-11-10,0.0442,80.6397
2011-11-17,Lex,2.3578,388,2.1171,50%,2011-11-21,2.3744,2.2059,3,0,0,2011-11-17,2011-11-17,0.071,-93.38
2011-11-17,Lex,2.3578,388,2.394,PnL,2011-11-30,2.3744,1.9384,9,0,6,2011-11-17,2011-11-25,0.1836,14.0378
2011-12-14,Lex,2.2486,458,2.2348,50%,2011-12-16,2.2808,2.1871,3,2,0,2011-12-15,2011-12-14,0.0411,-6.325
2011-12-14,Lex,2.2486,458,2.3602,PnL,2011-12-20,2.3081,2.1489,5,3,4,2011-12-16,2011-12-19,0.069,51.1082
2011-12-29,Lex,2.4323,1150,2.4815,PnL,2011-12-29,2.4876,2.4286,1,0,0,2011-12-29,2011-12-29,0.0237,56.603
2012-01-03,Lex,2.5764,1061,2.5976,PnL,2012-01-05,2.6118,2.5141,3,0,2,2012-01-03,2012-01-04,0.0374,22.4402
2012-02-16,Lex,2.9994,2058,3.0951,PnL,2012-02-16,3.1065,2.9847,1,0,0,2012-02-16,2012-02-16,0.0392,196.9094
2012-02-23,Lex,3.0918,2122,3.1407,PnL,2012-02-23,3.1435,3.0605,1,0,0,2012-02-23,2012-02-23,0.0264,103.7234
2012-03-07,Lex,3.0271,1963,3.0682,PnL,2012-03-07,3.0825,3.0169,1,0,0,2012-03-07,2012-03-07,0.0213,80.6989
2012-03-08,Lex,3.1244,1794,3.1602,PnL,2012-03-08,3.1777,3.1053,1,0,0,2012-03-08,2012-03-08,0.0228,64.2611
2012-03-26,Lex,3.4542,1360,3.5226,PnL,2012-03-26,3.549,3.4517,1,0,0,2012-03-26,2012-03-26,0.0274,92.9832
2012-03-29,Lex,3.378,1403,3.4212,PnL,2012-03-29,3.4359,3.3381,1,0,0,2012-03-29,2012-03-29,0.0285,60.6096
2012-04-09,Lex,3.2567,1513,3.2758,PnL,2012-04-09,3.3129,3.2453,1,0,0,2012-04-09,2012-04-09,0.0204,28.974
2012-04-11,Lex,3.2046,1545,3.3113,PnL,2012-04-12,3.2197,3.1659,2,0,0,2012-04-11,2012-04-11,0.0167,164.8051
2012-04-16,Lex,3.238,1357,3.3194,PnL,2012-04-17,3.251,3.1492,2,0,0,2012-04-16,2012-04-16,0.0313,110.4734
2012-05-07,Lex,3.1329,1357,3.172,PnL,2012-05-07,3.2054,3.1289,1,0,0,2012-05-07,2012-05-07,0.0239,53.0994
2012-05-10,Lex,3.1443,788,2.9668,50%,2012-05-14,3.1553,3.036,3,2,2,2012-05-11,2012-05-11,0.0378,-139.8464
2012-05-10,Lex,3.1443,789,2.8365,Exp,2012-05-23,3.1553,2.67,10,2,7,2012-05-11,2012-05-18,0.1538,-242.8226
2012-05-31,Lex,2.8007,762,2.5731,50%,2012-06-04,2.8471,2.5739,3,0,2,2012-05-31,2012-06-01,0.096,-173.416
2012-05-31,Lex,2.8007,762,2.8084,PnL,2012-06-06,2.8471,2.5116,5,0,3,2012-05-31,2012-06-04,0.1178,5.9055
2012-07-09,Lex,3.0517,535,2.965,50%,2012-07-11,3.1067,2.9345,3,2,2,2012-07-10,2012-07-10,0.0554,-46.3899
2012-07-09,Lex,3.0517,536,3.0709,PnL,2012-07-13,3.1067,2.8636,5,2,4,2012-07-10,2012-07-12,0.0783,10.2858
2012-08-01,Lex,3.2607,1211,3.3034,PnL,2012-08-03,3.2627,3.0448,3,0,2,2012-08-01,2012-08-02,0.0668,51.7581
2012-08-27,Lex,3.483,886,3.4533,50%,2012-08-29,3.4973,3.4142,3,0,2,2012-08-27,2012-08-28,0.0238,-26.2965
2012-08-27,Lex,3.483,887,3.6134,PnL,2012-09-06,3.4973,3.3535,8,0,6,2012-08-27,2012-09-04,0.0411,115.6471
2012-09-26,Lex,3.6957,1350,3.7392,PnL,2012-09-27,3.6957,3.6069,2,0,0,2012-09-26,2012-09-26,0.024,58.7655
2012-10-01,Lex,3.727,1327,3.7669,PnL,2012-10-03,3.815,3.6724,3,0,2,2012-10-01,2012-10-02,0.0374,52.9871
2012-10-10,Lex,3.6973,943,3.5898,50%,2012-10-12,3.718,3.6113,3,2,0,2012-10-11,2012-10-10,0.0287,-101.4102
